Values	total	status	pValue
Min.	1	white	0.16926277545725377
1st Qu.	55	white	0.16926277545725377
Median	130.5	white	0.16926277545725377
Mean	173.462962962963	white	0.16926277545725377
3rd Qu.	249	white	0.16926277545725377
Max.	630	white	0.16926277545725377
Min.	29	black or african american	0.16926277545725377
1st Qu.	41	black or african american	0.16926277545725377
Median	68	black or african american	0.16926277545725377
Mean	76.4	black or african american	0.16926277545725377
3rd Qu.	68	black or african american	0.16926277545725377
Max.	176	black or african american	0.16926277545725377
