Values	total	status	pValue
Min.	1	white	0.6480684965128798
1st Qu.	62	white	0.6480684965128798
Median	121	white	0.6480684965128798
Mean	188.577777777778	white	0.6480684965128798
3rd Qu.	253	white	0.6480684965128798
Max.	1021	white	0.6480684965128798
Min.	27	black or african american	0.6480684965128798
1st Qu.	57.75	black or african american	0.6480684965128798
Median	91.5	black or african american	0.6480684965128798
Mean	129.5	black or african american	0.6480684965128798
3rd Qu.	163.25	black or african american	0.6480684965128798
Max.	308	black or african american	0.6480684965128798
