Values	total	status	pValue
Min.	1	white	0.9419882119187812
1st Qu.	57.5	white	0.9419882119187812
Median	78.5	white	0.9419882119187812
Mean	89.925	white	0.9419882119187812
3rd Qu.	128.25	white	0.9419882119187812
Max.	292	white	0.9419882119187812
Min.	10	black or african american	0.9419882119187812
1st Qu.	61.25	black or african american	0.9419882119187812
Median	82	black or african american	0.9419882119187812
Mean	83.8	black or african american	0.9419882119187812
3rd Qu.	103.75	black or african american	0.9419882119187812
Max.	152	black or african american	0.9419882119187812
