Values	total	status	pValue
Min.	16	white	0.029018797617304547
1st Qu.	59.5	white	0.029018797617304547
Median	129	white	0.029018797617304547
Mean	181.132530120482	white	0.029018797617304547
3rd Qu.	270	white	0.029018797617304547
Max.	813	white	0.029018797617304547
Min.	2	black or african american	0.029018797617304547
1st Qu.	45.5	black or african american	0.029018797617304547
Median	89	black or african american	0.029018797617304547
Mean	95.4736842105263	black or african american	0.029018797617304547
3rd Qu.	120	black or african american	0.029018797617304547
Max.	354	black or african american	0.029018797617304547
