Values	total	status	pValue
Min.	16	white	0.09523809523809523
1st Qu.	20	white	0.09523809523809523
Median	39.5	white	0.09523809523809523
Mean	47.5	white	0.09523809523809523
3rd Qu.	62	white	0.09523809523809523
Max.	107	white	0.09523809523809523
Min.	74	black or african american	0.09523809523809523
1st Qu.	86	black or african american	0.09523809523809523
Median	98	black or african american	0.09523809523809523
Mean	94.6666666666667	black or african american	0.09523809523809523
3rd Qu.	105	black or african american	0.09523809523809523
Max.	112	black or african american	0.09523809523809523
