Values	total	status	pValue
Min.	2	white	0.07585763228551719
1st Qu.	43.75	white	0.07585763228551719
Median	70	white	0.07585763228551719
Mean	121.783333333333	white	0.07585763228551719
3rd Qu.	102.5	white	0.07585763228551719
Max.	2506	white	0.07585763228551719
Min.	64	black or african american	0.07585763228551719
1st Qu.	117.25	black or african american	0.07585763228551719
Median	136.5	black or african american	0.07585763228551719
Mean	122.5	black or african american	0.07585763228551719
3rd Qu.	141.75	black or african american	0.07585763228551719
Max.	153	black or african american	0.07585763228551719
