Values	total	status	pValue
Min.	3	white	0.6580970820142193
1st Qu.	24	white	0.6580970820142193
Median	44	white	0.6580970820142193
Mean	55.1707317073171	white	0.6580970820142193
3rd Qu.	60	white	0.6580970820142193
Max.	184	white	0.6580970820142193
Min.	28	black or african american	0.6580970820142193
1st Qu.	41	black or african american	0.6580970820142193
Median	54	black or african american	0.6580970820142193
Mean	60.3333333333333	black or african american	0.6580970820142193
3rd Qu.	76.5	black or african american	0.6580970820142193
Max.	99	black or african american	0.6580970820142193
