Values	total	status	pValue
Min.	1	white	0.15653331302716614
1st Qu.	23	white	0.15653331302716614
Median	73	white	0.15653331302716614
Mean	120.275590551181	white	0.15653331302716614
3rd Qu.	170	white	0.15653331302716614
Max.	833	white	0.15653331302716614
Min.	2	black or african american	0.15653331302716614
1st Qu.	68.25	black or african american	0.15653331302716614
Median	115	black or african american	0.15653331302716614
Mean	230	black or african american	0.15653331302716614
3rd Qu.	256	black or african american	0.15653331302716614
Max.	1342	black or african american	0.15653331302716614
