Values	total	status	pValue
Min.	1	white	0.12418955139283121
1st Qu.	37.25	white	0.12418955139283121
Median	123.5	white	0.12418955139283121
Mean	213.464601769911	white	0.12418955139283121
3rd Qu.	308.25	white	0.12418955139283121
Max.	1364	white	0.12418955139283121
Min.	19	black or african american	0.12418955139283121
1st Qu.	54.75	black or african american	0.12418955139283121
Median	245	black or african american	0.12418955139283121
Mean	268.235294117647	black or african american	0.12418955139283121
3rd Qu.	350	black or african american	0.12418955139283121
Max.	1073	black or african american	0.12418955139283121
