Values	total	status	pValue
Min.	4	white	0.9242471964153162
1st Qu.	102.75	white	0.9242471964153162
Median	163	white	0.9242471964153162
Mean	195.883333333333	white	0.9242471964153162
3rd Qu.	260.25	white	0.9242471964153162
Max.	806	white	0.9242471964153162
Min.	52	black or african american	0.9242471964153162
1st Qu.	88	black or african american	0.9242471964153162
Median	138	black or african american	0.9242471964153162
Mean	200.142857142857	black or african american	0.9242471964153162
3rd Qu.	335.5	black or african american	0.9242471964153162
Max.	364	black or african american	0.9242471964153162
