Values	total	status	pValue
Min.	1	white	0.6125290565194559
1st Qu.	112	white	0.6125290565194559
Median	174	white	0.6125290565194559
Mean	255.71186440678	white	0.6125290565194559
3rd Qu.	305	white	0.6125290565194559
Max.	2942	white	0.6125290565194559
Min.	33	black or african american	0.6125290565194559
1st Qu.	85	black or african american	0.6125290565194559
Median	195	black or african american	0.6125290565194559
Mean	190.473684210526	black or african american	0.6125290565194559
3rd Qu.	275.5	black or african american	0.6125290565194559
Max.	408	black or african american	0.6125290565194559
