Values	total	status	pValue
Min.	1	white	0.20130026007548682
1st Qu.	36	white	0.20130026007548682
Median	64.5	white	0.20130026007548682
Mean	109.160465116279	white	0.20130026007548682
3rd Qu.	110	white	0.20130026007548682
Max.	2506	white	0.20130026007548682
Min.	2	black or african american	0.20130026007548682
1st Qu.	50	black or african american	0.20130026007548682
Median	74	black or african american	0.20130026007548682
Mean	88.063829787234	black or african american	0.20130026007548682
3rd Qu.	115	black or african american	0.20130026007548682
Max.	354	black or african american	0.20130026007548682
