Values	total	status	pValue
Min.	3	white	0.3081018989461467
1st Qu.	8.25	white	0.3081018989461467
Median	12.5	white	0.3081018989461467
Mean	25.0862068965517	white	0.3081018989461467
3rd Qu.	18.75	white	0.3081018989461467
Max.	674	white	0.3081018989461467
Min.	6	black or african american	0.3081018989461467
1st Qu.	7.5	black or african american	0.3081018989461467
Median	9.5	black or african american	0.3081018989461467
Mean	9.5	black or african american	0.3081018989461467
3rd Qu.	11.5	black or african american	0.3081018989461467
Max.	13	black or african american	0.3081018989461467
