Values	total	status	pValue
Min.	1	white	0.35507639216840386
1st Qu.	22	white	0.35507639216840386
Median	31	white	0.35507639216840386
Mean	33.3653136531365	white	0.35507639216840386
3rd Qu.	42	white	0.35507639216840386
Max.	104	white	0.35507639216840386
Min.	6	black or african american	0.35507639216840386
1st Qu.	14.75	black or african american	0.35507639216840386
Median	33.5	black or african american	0.35507639216840386
Mean	45.94	black or african american	0.35507639216840386
3rd Qu.	55.5	black or african american	0.35507639216840386
Max.	484	black or african american	0.35507639216840386
