Values	total	status	pValue
Min.	1	white	0.7136861482977942
1st Qu.	47	white	0.7136861482977942
Median	67	white	0.7136861482977942
Mean	83.1412429378531	white	0.7136861482977942
3rd Qu.	90	white	0.7136861482977942
Max.	1471	white	0.7136861482977942
Min.	29	black or african american	0.7136861482977942
1st Qu.	51.75	black or african american	0.7136861482977942
Median	68.5	black or african american	0.7136861482977942
Mean	74.8125	black or african american	0.7136861482977942
3rd Qu.	89.5	black or african american	0.7136861482977942
Max.	165	black or african american	0.7136861482977942
