Values	total	status	pValue
Min.	1	white	0.008529915496000292
1st Qu.	30	white	0.008529915496000292
Median	102.5	white	0.008529915496000292
Mean	175.476315789474	white	0.008529915496000292
3rd Qu.	242.25	white	0.008529915496000292
Max.	1364	white	0.008529915496000292
Min.	2	black or african american	0.008529915496000292
1st Qu.	62.5	black or african american	0.008529915496000292
Median	208	black or african american	0.008529915496000292
Mean	262.21568627451	black or african american	0.008529915496000292
3rd Qu.	344	black or african american	0.008529915496000292
Max.	1342	black or african american	0.008529915496000292
