Values	total	status	pValue
Min.	1	white	0.9963924503183627
1st Qu.	106	white	0.9963924503183627
Median	179	white	0.9963924503183627
Mean	226.219941348974	white	0.9963924503183627
3rd Qu.	270	white	0.9963924503183627
Max.	2942	white	0.9963924503183627
Min.	33	black or african american	0.9963924503183627
1st Qu.	93	black or african american	0.9963924503183627
Median	195	black or african american	0.9963924503183627
Mean	197.137931034483	black or african american	0.9963924503183627
3rd Qu.	291	black or african american	0.9963924503183627
Max.	408	black or african american	0.9963924503183627
