Values	total	status	pValue
Min.	1	white	0.18847943265613593
1st Qu.	6	white	0.18847943265613593
Median	19	white	0.18847943265613593
Mean	81.1393442622951	white	0.18847943265613593
3rd Qu.	31	white	0.18847943265613593
Max.	7405	white	0.18847943265613593
Min.	1	black or african american	0.18847943265613593
1st Qu.	1	black or african american	0.18847943265613593
Median	5	black or african american	0.18847943265613593
Mean	15.2	black or african american	0.18847943265613593
3rd Qu.	11	black or african american	0.18847943265613593
Max.	58	black or african american	0.18847943265613593
