Values	total	status	pValue
Min.	1	white	0.6145341753944609
1st Qu.	35	white	0.6145341753944609
Median	77.5	white	0.6145341753944609
Mean	217.704545454545	white	0.6145341753944609
3rd Qu.	148	white	0.6145341753944609
Max.	5978	white	0.6145341753944609
Min.	24	black or african american	0.6145341753944609
1st Qu.	33	black or african american	0.6145341753944609
Median	56	black or african american	0.6145341753944609
Mean	222.384615384615	black or african american	0.6145341753944609
3rd Qu.	84	black or african american	0.6145341753944609
Max.	1169	black or african american	0.6145341753944609
