Values	total	status	pValue
Min.	1	white	0.22456969301715937
1st Qu.	5	white	0.22456969301715937
Median	18	white	0.22456969301715937
Mean	102.404494382022	white	0.22456969301715937
3rd Qu.	29	white	0.22456969301715937
Max.	7405	white	0.22456969301715937
Min.	1	black or african american	0.22456969301715937
1st Qu.	1	black or african american	0.22456969301715937
Median	5	black or african american	0.22456969301715937
Mean	15.2	black or african american	0.22456969301715937
3rd Qu.	11	black or african american	0.22456969301715937
Max.	58	black or african american	0.22456969301715937
