Values	total	status	pValue
Min.	1	white	0.903530180176567
1st Qu.	31	white	0.903530180176567
Median	79	white	0.903530180176567
Mean	300.492753623188	white	0.903530180176567
3rd Qu.	197	white	0.903530180176567
Max.	5978	white	0.903530180176567
Min.	28	black or african american	0.903530180176567
1st Qu.	52.75	black or african american	0.903530180176567
Median	67	black or african american	0.903530180176567
Mean	86	black or african american	0.903530180176567
3rd Qu.	100.25	black or african american	0.903530180176567
Max.	182	black or african american	0.903530180176567
