Values	total	status	pValue
Min.	2	white	0.6701837331216126
1st Qu.	36.25	white	0.6701837331216126
Median	92	white	0.6701837331216126
Mean	268.058823529412	white	0.6701837331216126
3rd Qu.	328.75	white	0.6701837331216126
Max.	2259	white	0.6701837331216126
Min.	24	black or african american	0.6701837331216126
1st Qu.	38	black or african american	0.6701837331216126
Median	47	black or african american	0.6701837331216126
Mean	252.4	black or african american	0.6701837331216126
3rd Qu.	84	black or african american	0.6701837331216126
Max.	1069	black or african american	0.6701837331216126
