Values	total	status	pValue
Min.	4	white	0.9513848642227014
1st Qu.	98	white	0.9513848642227014
Median	167	white	0.9513848642227014
Mean	244.308571428571	white	0.9513848642227014
3rd Qu.	288	white	0.9513848642227014
Max.	1648	white	0.9513848642227014
Min.	62	black or african american	0.9513848642227014
1st Qu.	93	black or african american	0.9513848642227014
Median	184	black or african american	0.9513848642227014
Mean	199.666666666667	black or african american	0.9513848642227014
3rd Qu.	234	black or african american	0.9513848642227014
Max.	427	black or african american	0.9513848642227014
