Values	total	status	pValue
Min.	1	white	0.16424697806692554
1st Qu.	71	white	0.16424697806692554
Median	185	white	0.16424697806692554
Mean	217.436363636364	white	0.16424697806692554
3rd Qu.	304	white	0.16424697806692554
Max.	800	white	0.16424697806692554
Min.	46	black or african american	0.16424697806692554
1st Qu.	71	black or african american	0.16424697806692554
Median	77	black or african american	0.16424697806692554
Mean	95	black or african american	0.16424697806692554
3rd Qu.	91	black or african american	0.16424697806692554
Max.	190	black or african american	0.16424697806692554
