Values	total	status	pValue
Min.	1	white	0.4419673108764311
1st Qu.	96.5	white	0.4419673108764311
Median	165.5	white	0.4419673108764311
Mean	236.369565217391	white	0.4419673108764311
3rd Qu.	301.5	white	0.4419673108764311
Max.	1158	white	0.4419673108764311
Min.	64	black or african american	0.4419673108764311
1st Qu.	82	black or african american	0.4419673108764311
Median	111	black or african american	0.4419673108764311
Mean	156	black or african american	0.4419673108764311
3rd Qu.	185	black or african american	0.4419673108764311
Max.	338	black or african american	0.4419673108764311
