Values	total	status	pValue
Min.	8	white	0.5203360670294188
1st Qu.	90	white	0.5203360670294188
Median	118.5	white	0.5203360670294188
Mean	129.525	white	0.5203360670294188
3rd Qu.	165.5	white	0.5203360670294188
Max.	469	white	0.5203360670294188
Min.	42	black or african american	0.5203360670294188
1st Qu.	101.25	black or african american	0.5203360670294188
Median	104.5	black or african american	0.5203360670294188
Mean	111.5	black or african american	0.5203360670294188
3rd Qu.	119.5	black or african american	0.5203360670294188
Max.	206	black or african american	0.5203360670294188
