Values	total	status	pValue
Min.	26	white	0.06952845445305718
1st Qu.	41.75	white	0.06952845445305718
Median	76	white	0.06952845445305718
Mean	70.1666666666667	white	0.06952845445305718
3rd Qu.	90.75	white	0.06952845445305718
Max.	117	white	0.06952845445305718
Min.	96	black or african american	0.06952845445305718
1st Qu.	106.5	black or african american	0.06952845445305718
Median	117	black or african american	0.06952845445305718
Mean	119	black or african american	0.06952845445305718
3rd Qu.	130.5	black or african american	0.06952845445305718
Max.	144	black or african american	0.06952845445305718
