Values	total	status	pValue
Min.	15	white	0.05742164594436692
1st Qu.	74.75	white	0.05742164594436692
Median	101	white	0.05742164594436692
Mean	156.966666666667	white	0.05742164594436692
3rd Qu.	137.75	white	0.05742164594436692
Max.	2547	white	0.05742164594436692
Min.	103	black or african american	0.05742164594436692
1st Qu.	143.5	black or african american	0.05742164594436692
Median	169	black or african american	0.05742164594436692
Mean	165.75	black or african american	0.05742164594436692
3rd Qu.	191.25	black or african american	0.05742164594436692
Max.	222	black or african american	0.05742164594436692
