Values	total	status	pValue
Min.	1	white	0.580523549544717
1st Qu.	40	white	0.580523549544717
Median	71	white	0.580523549544717
Mean	80.2389380530973	white	0.580523549544717
3rd Qu.	102	white	0.580523549544717
Max.	490	white	0.580523549544717
Min.	28	black or african american	0.580523549544717
1st Qu.	71	black or african american	0.580523549544717
Median	88	black or african american	0.580523549544717
Mean	82.5	black or african american	0.580523549544717
3rd Qu.	93.75	black or african american	0.580523549544717
Max.	130	black or african american	0.580523549544717
