Values	total	status	pValue
Min.	15	white	0.8888574493800736
1st Qu.	43	white	0.8888574493800736
Median	58	white	0.8888574493800736
Mean	84.6341463414634	white	0.8888574493800736
3rd Qu.	100	white	0.8888574493800736
Max.	413	white	0.8888574493800736
Min.	39	black or african american	0.8888574493800736
1st Qu.	55.5	black or african american	0.8888574493800736
Median	72	black or african american	0.8888574493800736
Mean	72.3333333333333	black or african american	0.8888574493800736
3rd Qu.	89	black or african american	0.8888574493800736
Max.	106	black or african american	0.8888574493800736
