Values	total	status	pValue
Min.	5	white	0.1819067063148966
1st Qu.	12	white	0.1819067063148966
Median	16	white	0.1819067063148966
Mean	31.0344827586207	white	0.1819067063148966
3rd Qu.	24.5	white	0.1819067063148966
Max.	748	white	0.1819067063148966
Min.	9	black or african american	0.1819067063148966
1st Qu.	9	black or african american	0.1819067063148966
Median	10.5	black or african american	0.1819067063148966
Mean	11.75	black or african american	0.1819067063148966
3rd Qu.	13.25	black or african american	0.1819067063148966
Max.	17	black or african american	0.1819067063148966
