Values	total	status	pValue
Min.	5	white	0.5777226009712888
1st Qu.	37	white	0.5777226009712888
Median	50	white	0.5777226009712888
Mean	50.5551470588235	white	0.5777226009712888
3rd Qu.	61.25	white	0.5777226009712888
Max.	134	white	0.5777226009712888
Min.	1	black or african american	0.5777226009712888
1st Qu.	26.75	black or african american	0.5777226009712888
Median	44.5	black or african american	0.5777226009712888
Mean	58.9038461538462	black or african american	0.5777226009712888
3rd Qu.	68.25	black or african american	0.5777226009712888
Max.	628	black or african american	0.5777226009712888
