Values	total	status	pValue
Min.	6	white	0.10756063952060088
1st Qu.	44.5	white	0.10756063952060088
Median	63	white	0.10756063952060088
Mean	63.8140703517588	white	0.10756063952060088
3rd Qu.	86	white	0.10756063952060088
Max.	142	white	0.10756063952060088
Min.	1	black or african american	0.10756063952060088
1st Qu.	30.5	black or african american	0.10756063952060088
Median	49	black or african american	0.10756063952060088
Mean	57.9322033898305	black or african american	0.10756063952060088
3rd Qu.	82	black or african american	0.10756063952060088
Max.	159	black or african american	0.10756063952060088
