Values	total	status	pValue
Min.	3	white	0.13834873438277537
1st Qu.	57	white	0.13834873438277537
Median	81	white	0.13834873438277537
Mean	101.374301675978	white	0.13834873438277537
3rd Qu.	112	white	0.13834873438277537
Max.	1531	white	0.13834873438277537
Min.	48	black or african american	0.13834873438277537
1st Qu.	83	black or african american	0.13834873438277537
Median	94.5	black or african american	0.13834873438277537
Mean	97.375	black or african american	0.13834873438277537
3rd Qu.	109.5	black or african american	0.13834873438277537
Max.	180	black or african american	0.13834873438277537
