Values	total	status	pValue
Min.	3	white	0.3735213263387104
1st Qu.	46	white	0.3735213263387104
Median	117	white	0.3735213263387104
Mean	173.84496124031	white	0.3735213263387104
3rd Qu.	234	white	0.3735213263387104
Max.	995	white	0.3735213263387104
Min.	3	black or african american	0.3735213263387104
1st Qu.	55.5	black or african american	0.3735213263387104
Median	174.5	black or african american	0.3735213263387104
Mean	284.857142857143	black or african american	0.3735213263387104
3rd Qu.	365.25	black or african american	0.3735213263387104
Max.	1505	black or african american	0.3735213263387104
