Values	total	status	pValue
Min.	38	white	0.9536640818446718
1st Qu.	145.5	white	0.9536640818446718
Median	210	white	0.9536640818446718
Mean	254.725	white	0.9536640818446718
3rd Qu.	330	white	0.9536640818446718
Max.	1035	white	0.9536640818446718
Min.	105	black or african american	0.9536640818446718
1st Qu.	131.5	black or african american	0.9536640818446718
Median	205	black or african american	0.9536640818446718
Mean	246.142857142857	black or african american	0.9536640818446718
3rd Qu.	377	black or african american	0.9536640818446718
Max.	396	black or african american	0.9536640818446718
