Values	total	status	pValue
Min.	32	white	0.5912604548999858
1st Qu.	163.75	white	0.5912604548999858
Median	228.5	white	0.5912604548999858
Mean	328.869318181818	white	0.5912604548999858
3rd Qu.	367.25	white	0.5912604548999858
Max.	3395	white	0.5912604548999858
Min.	81	black or african american	0.5912604548999858
1st Qu.	132	black or african american	0.5912604548999858
Median	237	black or african american	0.5912604548999858
Mean	248.105263157895	black or african american	0.5912604548999858
3rd Qu.	339	black or african american	0.5912604548999858
Max.	501	black or african american	0.5912604548999858
