Values	total	status	pValue
Min.	3	white	0.016904419985525172
1st Qu.	61.75	white	0.016904419985525172
Median	153.5	white	0.016904419985525172
Mean	247.895833333333	white	0.016904419985525172
3rd Qu.	329.25	white	0.016904419985525172
Max.	1637	white	0.016904419985525172
Min.	3	black or african american	0.016904419985525172
1st Qu.	105	black or african american	0.016904419985525172
Median	294	black or african american	0.016904419985525172
Mean	341.588235294118	black or african american	0.016904419985525172
3rd Qu.	443.5	black or african american	0.016904419985525172
Max.	1505	black or african american	0.016904419985525172
