Values	total	status	pValue
Min.	1	white	0.9123994963844613
1st Qu.	158.25	white	0.9123994963844613
Median	227.5	white	0.9123994963844613
Mean	291.704678362573	white	0.9123994963844613
3rd Qu.	339.75	white	0.9123994963844613
Max.	3395	white	0.9123994963844613
Min.	81	black or african american	0.9123994963844613
1st Qu.	135	black or african american	0.9123994963844613
Median	237	black or african american	0.9123994963844613
Mean	249.793103448276	black or african american	0.9123994963844613
3rd Qu.	353	black or african american	0.9123994963844613
Max.	501	black or african american	0.9123994963844613
