Values	total	status	pValue
Min.	1	white	0.9127832120245722
1st Qu.	21	white	0.9127832120245722
Median	33.5	white	0.9127832120245722
Mean	146.090909090909	white	0.9127832120245722
3rd Qu.	42.25	white	0.9127832120245722
Max.	15070	white	0.9127832120245722
Min.	17	black or african american	0.9127832120245722
1st Qu.	17.75	black or african american	0.9127832120245722
Median	27.5	black or african american	0.9127832120245722
Mean	37	black or african american	0.9127832120245722
3rd Qu.	46.75	black or african american	0.9127832120245722
Max.	76	black or african american	0.9127832120245722
