Values	total	status	pValue
Min.	1	white	0.9019412473827991
1st Qu.	21	white	0.9019412473827991
Median	33.5	white	0.9019412473827991
Mean	188.78125	white	0.9019412473827991
3rd Qu.	41	white	0.9019412473827991
Max.	15070	white	0.9019412473827991
Min.	17	black or african american	0.9019412473827991
1st Qu.	17.75	black or african american	0.9019412473827991
Median	27.5	black or african american	0.9019412473827991
Mean	37	black or african american	0.9019412473827991
3rd Qu.	46.75	black or african american	0.9019412473827991
Max.	76	black or african american	0.9019412473827991
