Values	total	status	pValue
Min.	4	white	0.41314549531927597
1st Qu.	60	white	0.41314549531927597
Median	131	white	0.41314549531927597
Mean	457.492753623188	white	0.41314549531927597
3rd Qu.	719	white	0.41314549531927597
Max.	3501	white	0.41314549531927597
Min.	44	black or african american	0.41314549531927597
1st Qu.	54	black or african american	0.41314549531927597
Median	70	black or african american	0.41314549531927597
Mean	336.2	black or african american	0.41314549531927597
3rd Qu.	90	black or african american	0.41314549531927597
Max.	1423	black or african american	0.41314549531927597
