	gene	pvalue
0	ABCC10	0.3759148170229246
0	AFF4	0.388407002077741
0	AKAP6	0.4787042806036774
0	ASPHD1	0.36183680491588155
0	CD1D	0.28537519402908695
0	CDKN1A	0.083064342980468
0	DEFB116	0.5
0	DNAH3	0.08225099858258661
0	FAT4	0.3868836751990009
0	FGFR3	0.02867376425304935
0	KPNB1	0.3312602917700287
0	LLGL2	0.3027883081676732
0	LSM14A	0.03681913506015133
0	MYOZ2	0.5
0	PCDHA7	0.09835280122947343
0	PCDHGA7	0.3312602917700287
0	ROS1	0.2165969747792561
0	RPTOR	0.2118553985833967
0	SYNE1	0.4088038633549457
0	TCEB3	0.23975006109347674
0	TMEM165	0.5
0	TPPP2	0.23975006109347674
0	TTN	0.4468508202112673
0	UACA	0.20232838096364303
0	ZBED9	0.13419081364638036
0	ACSM2B	0.34154569915480437
0	ADAMTS13	0.25249253754692297
0	AHNAK	0.47197116108337933
0	AKAP1	0.28185143082538655
0	AKAP9	0.20038470686622056
0	ARV1	0.12410653949496181
0	ASH1L	0.09072460386071024
0	ATAD2	0.14296740748183923
0	ATF7	0.1178399567145188
0	ATF7IP	0.09521513191276199
0	ATP13A3	0.20232838096364303
0	ATP2B4	0.23524321102939483
0	ATP8B4	0.3890798430880829
0	AZIN2	0.06680720126885807
0	BAG3	0.23975006109347674
0	BCKDK	0.5
0	BIRC6	0.45234968968743006
0	CD79A	0.5
0	CDH4	0.14102943788077937
0	CDHR5	0.5
0	CHD2	0.19078695285251068
0	CHD6	0.10988423975108047
0	CHD7	0.32637921489907396
0	CIITA	0.28537519402908695
0	CKAP5	0.17288929307558015
0	CLCN2	0.38641499634222376
0	CXXC1	0.15371708296369768
0	DBNDD1	0.5
0	DDX17	0.25249253754692297
0	DOT1L	0.4635806116280593
0	EFCAB5	0.1097457788509939
0	EIF2AK4	0.15674997279179403
0	ELMOD2	0.23975006109347674
0	EME1	0.3085375387259869
0	EPS8L2	0.382797241997882
0	ERBB2	0.09663952540547888
0	FANCD2	0.10119800798647938
0	FASN	0.26354462843276905
0	FLRT2	0.28537519402908695
0	FREM2	0.40946380709576896
0	FRS2	0.36183680491588155
0	FST	0.06680720126885807
0	GLI3	0.26468405309239895
0	GON4L	0.13594935540982417
0	GPR4	0.03681913506015133
0	GSTCD	0.23975006109347674
0	IGSF9B	0.10917734528295076
0	KCNQ5	0.3060601923443434
0	KIAA1683	0.25116747718025106
0	KMT2C	0.3914946821194002
0	LRRC8B	0.25249253754692297
0	MACF1	0.21542200752963026
0	MAPK8IP3	0.26354462843276905
0	MAT2A	0.1178399567145188
0	MLLT4	0.15674997279179403
0	MON2	0.20951016676715795
0	MUC16	0.37842253178088386
0	MYO1D	0.25249253754692297
0	MYO7B	0.15524721715861745
0	NALCN	0.1701778711926008
0	NOD1	0.1029516053660342
0	NOP56	0.3027883081676732
0	NOTCH1	0.037293207845699124
0	NOTCH3	0.18065521426308934
0	OBSCN	0.4787969852393544
0	OCEL1	0.23975006109347674
0	OR4M1	0.1508497912391739
0	PARP8	0.17726973988675065
0	PLA2G4F	0.19323811538561636
0	PLXNB1	0.3638617733347751
0	POT1	0.2202003490695016
0	PRKAR1B	0.23975006109347674
0	PRKCQ	0.28185143082538655
0	PRX	0.3183784138051392
0	PSD2	0.34154569915480437
0	PSORS1C1	0.5
0	RASGRP2	0.03681913506015133
0	RBSN	0.1029516053660342
0	RP11-20I23.1	0.23975006109347674
0	RYR2	0.16793748419665855
0	SACS	0.29531927010766534
0	SBF1	0.24948114930188053
0	SEC61A2	0.23975006109347674
0	SEMA4G	0.2701456873037099
0	SETX	0.28537519402908695
0	SIL1	0.23975006109347674
0	SIN3A	0.2973962611250344
0	SLC27A1	0.5
0	SMARCA2	0.2741714677314068
0	SMC1A	0.29794154528258887
0	SORCS1	0.12232403356329069
0	SPATA4	0.2266273523768682
0	SPTBN5	0.12961568270698093
0	STK19	0.34154569915480437
0	TAF9	0.5
0	TAS2R20	0.25249253754692297
0	TBC1D32	0.3085375387259869
0	TBC1D9	0.34154569915480437
0	TENM3	0.11473517179719633
0	TIAM2	0.2234364103554154
0	TOMM40L	0.23975006109347674
0	TRAJ57	0.5
0	TRAPPC10	0.28537519402908695
0	TRPM2	0.23664473269004493
0	TXLNG	0.06680720126885807
0	TYK2	0.24812123722213147
0	URB2	0.25249253754692297
0	USP42	0.06680720126885807
0	UTRN	0.47991797149636717
0	VAV1	0.5
0	WDR33	0.13600796288455724
0	WHSC1	0.4657737372412054
0	XBP1	0.5
0	ZC3H4	0.28537519402908695
0	ZNF33A	0.011671101006445408
0	ZNF35	0.25116747718025106
0	ZNF429	0.25249253754692297
0	ZNF493	0.5
0	ZNF557	0.25249253754692297
0	ZNF565	0.25249253754692297
0	ANKS1B	0.40683185788339593
0	ARHGAP20	0.43070706724817814
0	ASXL1	0.23524321102939483
0	CACNA1S	0.4657737372412054
0	CAMP	0.5
0	DGKG	0.21133903708531776
0	EP300	0.015865296960803483
0	ERBB3	0.37156618424518073
0	FNDC1	0.17478740306164908
0	GBF1	0.45770010383673604
0	GRIK2	0.2778448951413973
0	GYG1	0.12410653949496181
0	HGS	0.09121121972586793
0	KCNH2	0.2326044092260709
0	LATS1	0.34154569915480437
0	LGALS9B	0.5
0	LRRC16A	0.12841962897892828
0	LRRTM4	0.5
0	MXD1	0.23975006109347674
0	MYH11	0.14506440097605183
0	MYH4	0.20469774310495936
0	NES	0.2106897518714348
0	NOM1	0.25116747718025106
0	PDE3A	0.0777901738960989
0	PIGS	0.31867594411696853
0	PIK3CA	0.38964463663705173
0	PPARGC1A	0.2118553985833967
0	RC3H1	0.3162925608480207
0	SCN11A	0.25634538013096175
0	SCN1B	0.06680720126885807
0	SFSWAP	0.5
0	SPATA31D1	0.5
0	TNXB	0.289835113448498
0	TRRAP	0.17772710793493496
0	TUBGCP6	0.25116747718025106
0	UHRF1BP1L	0.156160710838108
0	USP34	0.4757431337070178
0	VWA3B	0.17139085557395572
0	YEATS4	0.5
0	ZFP36L1	0.06626070194427551
0	ZKSCAN5	0.4115316368790607
0	ZNF217	0.13815145866874173
0	ZNF599	0.36183680491588155
0	PRSS54	0.25249253754692297
0	ABCB5	0.23664473269004493
0	ADAM17	0.38641499634222376
0	ADAMTS9	0.1044253713328343
0	ALG13	0.23975006109347674
0	ANAPC1	0.13815145866874173
0	ANK2	0.2810413050177234
0	ANXA7	0.3085375387259869
0	C2orf61	0.12410653949496181
0	CACHD1	0.34154569915480437
0	CACNA1E	0.46752612668265014
0	CAMK2B	0.38641499634222376
0	CARF	0.23524321102939483
0	CCDC116	0.12410653949496181
0	CD200R1L	0.23975006109347674
0	CDH9	0.3312602917700287
0	CEP192	0.44448092106797454
0	CHD5	0.34590037912687926
0	CIT	0.2380167464712148
0	COMMD4	0.5
0	CRB1	0.2722269886373513
0	DSPP	0.18554668476134878
0	EPG5	0.17965866916478535
0	EPPK1	0.1226390584033864
0	ETV6	0.2312163632252382
0	EVI5L	0.23975006109347674
0	FARP1	0.3759148170229246
0	FARS2	0.23975006109347674
0	FBXO28	0.36183680491588155
0	FBXO42	0.2754924937925467
0	FBXW7	0.2724134252586333
0	FNBP4	0.247062272204632
0	GGPS1	0.23975006109347674
0	GLOD4	0.23975006109347674
0	GUCY2C	0.07652094207940999
0	HERC1	0.3444771255500965
0	HMCN1	0.12635066976227605
0	HNF1A	0.18554668476134878
0	IGKV2D-24	0.12410653949496181
0	IKZF2	0.30853753872598694
0	IL18BP	0.23975006109347674
0	INPPL1	0.17478740306164908
0	JDP2	0.23975006109347674
0	KIAA1324	0.31867594411696853
0	KIF1C	0.36183680491588155
0	MACC1	0.3759148170229246
0	MBD5	0.2541657867760727
0	MCCC1	0.2118553985833967
0	MRPL55	0.23975006109347674
0	MTMR7	0.34154569915480437
0	MYBPC1	0.09521513191276199
0	MYCL	0.5
0	MYH6	0.15674997279179403
0	MYH8	0.20232838096364303
0	MYO3A	0.46326405154088707
0	OAS3	0.2541657867760727
0	OR2W3	0.5
0	PCDHA13	0.22979869309197115
0	PCDHB5	0.33869580096313867
0	PHF21B	0.5
0	PHLDB2	0.15715233023692698
0	PLCH1	0.15674997279179403
0	PLXNB2	0.15743932066820998
0	PRKDC	0.15323242729753078
0	PROX1	0.30853753872598694
0	RHOB	0.21017246751696433
0	RPAP1	0.20232838096364303
0	RYR1	0.3328213525764063
0	SLC17A4	0.5
0	SLC27A6	0.5
0	SPECC1L	0.2202003490695016
0	SPHKAP	0.47874636875696347
0	SPTAN1	0.1349727000497295
0	SSH3	0.17478740306164908
0	TMEM132B	0.19078695285251068
0	TNN	0.388407002077741
0	TP53BP1	0.2207091633910268
0	TRAV25	0.5
0	TRPS1	0.20469774310495936
0	VPS33A	0.2701456873037099
0	ZMPSTE24	0.15865525393145707
0	ZNF92	0.12410653949496181
0	ADD3	0.25116747718025106
0	AHNAK2	0.09603275396737249
0	ARHGEF10L	0.18554668476134878
0	DDX53	0.5
0	DIO3	0.23975006109347674
0	DMD	0.2578025105571074
0	DMXL2	0.23661685906319563
0	DNAAF2	0.36183680491588155
0	DOCK9	0.2593025082143628
0	DPP7	0.12410653949496181
0	DST	0.346577098417069
0	DZANK1	0.25249253754692297
0	FHDC1	0.2266273523768682
0	FKBP14	0.5
0	FLG2	0.25249253754692297
0	FLT1	0.38641499634222376
0	FNDC3B	0.16327890366541498
0	FREM1	0.11273033730730886
0	FXYD5	0.2071080891212626
0	GALNT15	0.19323811538561636
0	GDPD1	0.5
0	GNA11	0.25249253754692297
0	GREB1	0.051674905830840695
0	GRIA4	0.29138910898701875
0	HEATR5B	0.11582610848112607
0	HOXD4	0.12410653949496181
0	HSPG2	0.1421073462931537
0	IGKV2D-29	0.23975006109347674
0	KCNH5	0.4012936743170763
0	KDM6A	0.18964421727690528
0	KIAA2026	0.1723604870942222
0	KMT2D	0.2814861584421763
0	KMT2E	0.24812123722213147
0	LAMA3	0.38334892977997387
0	LMTK2	0.13362874657719392
0	LRP1B	0.47364722440732304
0	MGAT4A	0.12410653949496181
0	MOV10	0.41274895535231604
0	MYO16	0.15674997279179403
0	NACC1	0.36183680491588155
0	NEB	0.4870280454138083
0	NFAT5	0.29794154528258887
0	NLRP9	0.16327890366541498
0	NUMA1	0.15715233023692698
0	PCDHGA3	0.4501206090999956
0	PEX1	0.11929641465821778
0	PLEC	0.23402521923634945
0	PRNP	0.5
0	RMDN1	0.23975006109347674
0	RYR3	0.4760750631080409
0	SAMD9	0.20469774310495936
0	SASS6	0.5
0	SCAI	0.011671101006445408
0	SF3B1	0.22777254689466497
0	THADA	0.2701456873037099
0	THRA	0.06680720126885807
0	TP53	0.48621833185485785
0	TRAJ1	0.23975006109347674
0	USP8	0.10154589378858392
0	VPS13C	0.17965866916478535
0	ZNF486	0.2266273523768682
0	ALDH8A1	0.3085375387259869
0	ARHGAP35	0.12870907800189607
0	BRCA1	0.1366211900551731
0	C2orf16	0.23817611042227305
0	C9orf172	0.34154569915480437
0	C9orf3	0.2266273523768682
0	CACNA1B	0.46752612668265014
0	CASC1	0.020613416668581838
0	CDKN2A	0.2662521342941777
0	CECR5	0.5
0	CEMIP	0.09121121972586793
0	CHD8	0.22484589898444546
0	CIC	0.16509555930167136
0	CLK3	0.06680720126885807
0	CPEB2	0.5
0	CS	0.5
0	CSMD2	0.08339502879204663
0	CSMD3	0.03046012383289537
0	CTNNA2	0.26468405309239895
0	DCAF17	0.12410653949496181
0	DGKA	0.3027883081676732
0	DMAP1	0.5
0	DNAH9	0.4274585689823095
0	DRC1	0.14442218317324246
0	EMILIN3	0.3312602917700287
0	EP400	0.17925813038797322
0	EPHA6	0.18065521426308934
0	ETAA1	0.2266273523768682
0	FAM160A2	0.31867594411696853
0	FCGBP	0.17071236842369164
0	FKBP15	0.4218344747759831
0	FLNB	0.38929354294010415
0	FOXO1	0.12410653949496181
0	FSTL4	0.05440471502027289
0	GIGYF2	0.19323811538561636
0	GMNN	0.5
0	HEATR4	0.2266273523768682
0	HIVEP3	0.13676543773300315
0	HOXA13	0.23975006109347674
0	HRNR	0.18165107044344897
0	IARS	0.5
0	IFNW1	0.5
0	IL16	0.28537519402908695
0	IRF8	0.23975006109347674
0	IRS1	0.13419081364638036
0	ITSN2	0.19078695285251068
0	JUND	0.12410653949496181
0	KDM3A	0.3183286832181939
0	KDM7A	0.3759148170229246
0	KEL	0.25116747718025106
0	KIAA1109	0.09453109725727848
0	KIAA1549	0.18554668476134878
0	KLHL5	0.23975006109347674
0	KRT77	0.36183680491588155
0	KRTAP4-11	0.5
0	KY	0.06680720126885807
0	LAMA4	0.2234364103554154
0	LGI1	0.03681913506015133
0	LILRB3	0.18554668476134878
0	MAP1A	0.12085188928317159
0	MEF2B	0.12410653949496181
0	MGA	0.4813883705838548
0	MSANTD2	0.5
0	MYT1L	0.1995375982741186
0	NDUFAF2	0.5
0	NLRC5	0.4708973672667564
0	NUP205	0.2587673598216175
0	OR4N2	0.09521513191276199
0	PAPD7	0.3027883081676732
0	PCDHA6	0.2593025082143628
0	PCF11	0.19444270590388257
0	PHAX	0.23975006109347674
0	PIK3R4	0.30853753872598694
0	PLCL2	0.4155852047708812
0	POTEF	0.28537519402908695
0	PRRC2C	0.23524321102939483
0	PTPN22	0.36451724476940206
0	RAB11FIP1	0.2326044092260709
0	RAB24	0.23975006109347674
0	RANBP2	0.15781215036766055
0	RGS9BP	0.5
0	RNF128	0.06680720126885807
0	SCD	0.5
0	SCLT1	0.1178399567145188
0	SCML2	0.36183680491588155
0	SEC24B	0.15371708296369768
