	gene	pvalue
0	CA12	0.23975006109347674
0	CBX5	0.5
0	CDK11A	0.23975006109347674
0	DUSP7	0.5
0	EGFLAM	0.23975006109347674
0	F2RL1	0.5
0	GTPBP2	0.5
0	HCCS	0.5
0	KIAA1257	0.5
0	MEP1A	0.23975006109347674
0	NRBP1	0.12410653949496181
0	RANBP2	0.0038303805675897287
0	SESN3	0.5
0	SLC30A8	0.5
0	TUBGCP6	0.5
0	VSIG2	0.5
0	ZFAND4	0.5
0	ZNF235	0.23975006109347674
0	AAAS	0.5
0	ACADM	0.23975006109347674
0	ADAM19	0.23975006109347674
0	APOD	0.5
0	ARHGEF10	0.5
0	ARRDC3	0.12410653949496181
0	ARSB	0.5
0	C6	0.23975006109347674
0	CANX	0.12410653949496181
0	CDON	0.23975006109347674
0	CLCN3	0.12410653949496181
0	CNTRL	0.23975006109347674
0	CPNE5	0.5
0	DLC1	0.5
0	EPHX2	0.5
0	ESR2	0.23975006109347674
0	FKBP8	0.23975006109347674
0	FLYWCH1	0.5
0	FOXI1	0.5
0	GJD3	0.23975006109347674
0	GOLGA6L6	0.5
0	GPR89A	0.23975006109347674
0	KCNB1	0.5
0	LMO7	0.06680720126885807
0	LRWD1	0.27014568730370997
0	MAP1B	0.12410653949496181
0	MGA	0.06680720126885807
0	MUM1	0.5
0	NBPF1	0.5
0	NCF2	0.5
0	NFIC	0.5
0	NHLRC1	0.23975006109347674
0	NME8	0.5
0	NUP205	0.06680720126885807
0	NUP210L	0.34154569915480437
0	NUPL2	0.5
0	OR6C1	0.23975006109347674
0	P2RY8	0.5
0	P4HA3	0.5
0	PCMT1	0.5
0	PCYT2	0.5
0	PDE4DIP	0.12410653949496181
0	PUM2	0.06680720126885807
0	RAVER2	0.5
0	RIMBP2	0.23975006109347674
0	RIPK1	0.5
0	RWDD2B	0.5
0	SEL1L3	0.06680720126885807
0	SF3A3	0.5
0	SGTB	0.23975006109347674
0	SHH	0.5
0	SIN3B	0.23975006109347674
0	SPPL2B	0.5
0	SPTBN1	0.03681913506015133
0	SYPL1	0.23975006109347674
0	TBC1D32	0.23975006109347674
0	TMEM50B	0.5
0	TMEM87B	0.5
0	TMEM88B	0.5
0	TULP4	0.23975006109347674
0	XKRX	0.5
0	ZNF709	0.06680720126885807
0	ZNF831	0.06680720126885807
0	ACTR1B	0.23975006109347674
0	APBB2	0.23975006109347674
0	ARHGAP10	0.5
0	ATG13	0.23975006109347674
0	AVIL	0.5
0	B3GALNT1	0.5
0	BCL10	0.5
0	BMP4	0.5
0	CAT	0.5
0	CD163L1	0.1178399567145188
0	CD22	0.23975006109347674
0	CST2	0.5
0	DDX58	0.12410653949496181
0	DLK2	0.5
0	DMXL2	0.03681913506015133
0	DSP	0.5
0	DYRK1A	0.23975006109347674
0	ENOSF1	0.5
0	EPHA10	0.5
0	EXT2	0.23975006109347674
0	FAM20A	0.12410653949496181
0	FAM71C	0.23975006109347674
0	FBXW9	0.12410653949496181
0	GABRP	0.5
0	GBP3	0.5
0	GCNT2	0.5
0	HIVEP2	0.17288929307558015
0	HSD17B14	0.12410653949496181
0	HTR3A	0.12410653949496181
0	IGFN1	0.5
0	JDP2	0.5
0	KCNJ13	0.23975006109347674
0	KIF26B	0.23975006109347674
0	LECT1	0.5
0	MBD4	0.23975006109347674
0	MDC1	0.12410653949496181
0	MTFR1	0.23975006109347674
0	MYH9	0.12410653949496181
0	NCSTN	0.23975006109347674
0	NUP188	0.12410653949496181
0	NYAP2	0.23975006109347674
0	OGDHL	0.5
0	OR2J3	0.12410653949496181
0	OR5P2	0.27014568730370997
0	OR5W2	0.5
0	OTUD1	0.5
0	PDS5B	0.5
0	PEX1	0.23975006109347674
0	PFN3	0.23975006109347674
0	PHKG1	0.23975006109347674
0	PNPLA6	0.06680720126885807
0	PPFIA4	0.23975006109347674
0	PTPN3	0.23975006109347674
0	RARS	0.5
0	RNF114	0.5
0	RPS6KC1	0.23975006109347674
0	RUFY3	0.12410653949496181
0	SCN9A	0.12410653949496181
0	SLC43A2	0.5
0	SLIT2	0.12410653949496181
0	SMCO3	0.5
0	SORCS3	0.23975006109347674
0	STAB2	0.5
0	STAM2	0.5
0	STX18	0.12410653949496181
0	SYTL2	0.06680720126885807
0	TCF4	0.23975006109347674
0	TMEM237	0.23975006109347674
0	TTC21A	0.5
0	UBE2O	0.06680720126885807
0	UPP2	0.23975006109347674
0	VWA5B2	0.23975006109347674
0	WDPCP	0.5
0	ZNF229	0.5
0	ZNF517	0.5
0	ABCC6	0.23975006109347674
0	AC104809.3	0.5
0	AQR	0.12410653949496181
0	BAIAP2	0.5
0	C11orf30	0.5
0	C2orf78	0.12410653949496181
0	CA14	0.5
0	CD200R1	0.5
0	CSF2RA	0.23975006109347674
0	ELF2	0.23975006109347674
0	ELFN1	0.5
0	ETHE1	0.5
0	FPGT	0.5
0	GSTK1	0.23975006109347674
0	KDM5B	0.5
0	LAMA3	0.3027883081676732
0	LTK	0.23975006109347674
0	METTL15	0.5
0	NLK	0.12410653949496181
0	OR7G1	0.5
0	PIP	0.5
0	PKP4	0.06680720126885807
0	PROKR2	0.5
0	QTRT1	0.23975006109347674
0	SLC13A3	0.06680720126885807
0	SLC35F1	0.5
0	SLC5A10	0.23975006109347674
