	gene	pvalue
0	ABCA1	0.10917734528295076
0	ABCA13	0.049818908348404974
0	ADAMTS2	0.29889023288344796
0	ADAMTS20	0.45412094216474386
0	ADGRL2	0.15260968810729608
0	AHNAK2	0.34505662772527756
0	AIF1L	0.5
0	APOB	0.3934305326083412
0	ASPM	0.41577084405986425
0	ATP10B	0.12280106054777801
0	ATP5B	0.34154569915480437
0	BCAN	0.2658579660744709
0	BPTF	0.4148535451618474
0	CC2D2B	0.23975006109347674
0	CCDC108	0.3418548182424256
0	CD47	0.5
0	CD6	0.35750032734404463
0	CDK1	0.12410653949496181
0	CELSR3	0.05869577931909081
0	CLDN1	0.23975006109347674
0	CLEC17A	0.36183680491588155
0	COL20A1	0.18313651938475
0	COL5A2	0.3486668370234956
0	COL6A2	0.2134643896100355
0	CRB1	0.16717236944090125
0	CSMD2	0.050141687650762476
0	CSMD3	0.07560611026980103
0	CUL1	0.14193823728614724
0	DBN1	0.25249253754692297
0	DEPDC5	0.29794154528258887
0	DMBT1	0.1353576607756346
0	DNAH9	0.42586404780727694
0	DNMBP	0.18554668476134878
0	DSCAM	0.08703695422085395
0	EDDM3B	0.5
0	EHMT1	0.35750032734404463
0	EPS8L3	0.3183286832181939
0	FAT3	0.19140862319038737
0	FBXL7	0.48880585390001186
0	FBXO18	0.3312602917700287
0	FCGBP	0.1932019734721112
0	FOXI2	0.5
0	GABRA4	0.14495922697128488
0	GALM	0.23975006109347674
0	GBP6	0.33869580096313867
0	GLI1	0.06583400801140711
0	GLRA1	0.5
0	GRM7	0.13852730082258935
0	GZMB	0.36183680491588155
0	HECTD4	0.11430731982663922
0	HFM1	0.2911531372066084
0	IL31	0.5
0	ITPR2	0.05928571622219685
0	KAZN	0.5
0	KEAP1	0.325516407624873
0	KIAA0196	0.4115316368790607
0	KIF2B	0.46225043531421217
0	KRAS	0.29184294775333364
0	LAMA3	0.4174843531794775
0	LCT	0.4878102575424735
0	LGR5	0.1944528738667573
0	LPA	0.24309584553563945
0	LRFN5	0.2877763786381223
0	LRP1B	0.29716709168471356
0	LRP2	0.06788938745525702
0	LY96	0.5
0	MACF1	0.35246915294235387
0	MAGEB3	0.2714012268786866
0	MARCH1	0.11651899113695269
0	MED13L	0.22241881560559418
0	MME	0.1097457788509939
0	MSL1	0.5
0	MUC16	0.43197463059361935
0	MXRA5	0.22447485960248276
0	MYH1	0.2927131564914751
0	MYH7	0.32441572789523665
0	NBAS	0.45251518311168965
0	NBPF12	0.11929641465821778
0	NMUR2	0.18240499717097647
0	NPAP1	0.167606648021844
0	NRAP	0.2578191088983204
0	NTRK3	0.1372036524780913
0	NXPE1	0.3825435966791899
0	OR10AD1	0.5
0	OR10K2	0.2089150628156649
0	OR11H6	0.056175598845231975
0	OR11L1	0.3255383170389172
0	OR2T4	0.5
0	OR56A1	0.42225963373647
0	OR5AN1	0.12841962897892828
0	OR5M9	0.42225963373647
0	OR6T1	0.3743870208532736
0	OR7E24	0.17726973988675065
0	OTOGL	0.2124278353815704
0	PBXIP1	0.2990807263417641
0	PCDH15	0.2628052812591328
0	PDCD11	0.2948192758132836
0	PDE10A	0.21123495048576935
0	PIM3	0.5
0	PLVAP	0.4115316368790607
0	PODN	0.3501556864684451
0	POLE	0.14795897640969952
0	PPARGC1B	0.29794154528258887
0	PRDM10	0.5
0	PRKCA	0.3501556864684451
0	PTPRB	0.35983114583353804
0	RBFOX1	0.26308423887807164
0	RBM10	0.28185143082538655
0	RNF130	0.14442218317324246
0	RP11-407N17.3	0.1432110113889294
0	RUNX1T1	0.3575003273440446
0	S100PBP	0.12410653949496181
0	SCN9A	0.5
0	SDK1	0.0608316227486629
0	SETBP1	0.11264901708272906
0	SIM1	0.262494866451186
0	SLC39A9	0.5
0	SLC6A17	0.07736446174268921
0	SLC9A2	0.03393013003689325
0	SLITRK3	0.15071498427223223
0	SNTG1	0.23242571261817108
0	SON	0.36944134018176367
0	SORCS3	0.18206678439682755
0	SPEN	0.3162925608480207
0	SPTA1	0.47930049309684497
0	STK11	0.17040162344304238
0	SV2B	0.31762814799862416
0	SVEP1	0.19885043101728056
0	TANC1	0.3162925608480207
0	TENM4	0.26802521877210417
0	TEX15	0.11903875923406948
0	TIAM2	0.344866295972921
0	TP53	0.06700403265405806
0	TRIM7	0.5
0	TRIM9	0.2202003490695016
0	TRIP12	0.26354462843276905
0	TSHR	0.1723604870942222
0	TSHZ3	0.3203524994592264
0	UHRF1BP1L	0.23772984650044304
0	USH2A	0.483706957634375
0	USP38	0.312103057383203
0	UTP20	0.2858038224766658
0	VCAN	0.35626541437702797
0	XIRP2	0.2915173197211507
0	ZDHHC6	0.5
0	ZNF335	0.40683185788339593
0	ZNF831	0.09293836618293788
0	ADAM15	0.5
0	ATP12A	0.2778448951413973
0	ATR	0.19444270590388257
0	CACNA1F	0.3071104470318619
0	CAPN6	0.3538302333272762
0	CDH6	0.1866152000034214
0	CLCN1	0.14775702897952497
0	CLDN15	0.5
0	COL17A1	0.3027883081676731
0	DCTN2	0.5
0	EDEM2	0.34154569915480437
0	F2R	0.15371708296369768
0	GPRASP1	0.12989822983897092
0	HECTD1	0.382797241997882
0	HECW1	0.2527560470432222
0	HMP19	0.5
0	KHDRBS2	0.3501556864684451
0	KIAA1549	0.2858038224766658
0	KIF21B	0.36532343159211045
0	LAMC2	0.25116747718025106
0	LRCH3	0.14442218317324246
0	LRP1	0.27342240735102563
0	MUC17	0.42240196569847765
0	NUP62CL	0.5
0	OCA2	0.23678995753698
0	PCDHGA4	0.05928571622219685
0	PHLPP2	0.2701456873037099
0	RNF133	0.09121121972586793
0	SERPINA5	0.23772984650044304
0	SNRNP200	0.17997105123757362
0	TKTL1	0.39463401306714063
0	TMEFF2	0.3759148170229246
0	TMEM132B	0.2452953614887291
0	TYR	0.262494866451186
0	UBR5	0.4375361875744052
0	ZNF536	0.3313493772298667
