	gene	pvalue
0	ABCA1	0.14102943788077937
0	ABCA13	0.061642041278844734
0	ADAMTS18	0.1452566163252904
0	ADAMTS2	0.29889023288344796
0	ADAMTS20	0.36927459286588693
0	ADGRL2	0.19358012222399384
0	AHNAK2	0.36364298374473125
0	ALPP	0.38641499634222376
0	APOB	0.36604795869104056
0	ASPM	0.25418315131681635
0	ATP10B	0.12280106054777801
0	BCAN	0.2346105780208697
0	BPTF	0.08503348072695238
0	C1orf35	0.23975006109347674
0	C7	0.2283895091144882
0	CC2D2B	0.23975006109347674
0	CCDC108	0.22713012128340943
0	CDK1	0.12410653949496181
0	CELSR3	0.07491915113121296
0	CLDN1	0.23975006109347674
0	CLEC17A	0.2312163632252382
0	COL20A1	0.21725949782660203
0	COL5A2	0.34205293429916506
0	COL6A2	0.24706688417509892
0	CRB1	0.09578731193736434
0	CSMD2	0.06789223208965736
0	CSMD3	0.12897372036415156
0	CTNNA3	0.2614083269595443
0	CUL1	0.14193823728614724
0	DEPDC5	0.34154569915480437
0	DMBT1	0.13989298988322962
0	DNAH9	0.36545160671001786
0	DNMBP	0.18554668476134878
0	DSCAM	0.07938246066817184
0	EDDM3B	0.5
0	EHMT1	0.3255383170389172
0	EPS8L3	0.3183286832181939
0	FAT3	0.2771605399494541
0	FBXL7	0.14523298559845943
0	FBXO18	0.3312602917700287
0	FCGBP	0.0903343602787956
0	GABRA4	0.4557338725020267
0	GALM	0.23975006109347674
0	GBP6	0.33869580096313867
0	GLI1	0.04804616472783661
0	GLRA1	0.5
0	GRM7	0.22579327146086764
0	GZMB	0.36183680491588155
0	HECTD4	0.40277029433374695
0	HFM1	0.3102740236600308
0	IGDCC3	0.3027883081676732
0	IL31	0.5
0	ITPR2	0.19587440389718824
0	KAZN	0.5
0	KEAP1	0.15720708508936437
0	KIAA0196	0.3094204656987553
0	KIF2B	0.47431122453806296
0	KRAS	0.3488631362738816
0	LCT	0.39404455271123767
0	LGR5	0.1413148627547371
0	LPA	0.18433244464562348
0	LRFN5	0.28728241215627187
0	LRP1B	0.41057712144864533
0	LRP2	0.2655033687415602
0	LY96	0.5
0	MACF1	0.12082691287486935
0	MAGEB3	0.23772984650044304
0	MARCH1	0.11651899113695269
0	MED13L	0.2287136392125938
0	MME	0.05505906173293481
0	MSL1	0.5
0	MUC16	0.4472626428455042
0	MXRA5	0.19683111500781098
0	MYH7	0.3996560059231908
0	NBAS	0.4381232060260066
0	NBPF12	0.1508497912391739
0	NLRP5	0.4898530594929526
0	NMUR2	0.222053452065627
0	NPAP1	0.08267062456638374
0	NRAP	0.24616534600967027
0	NRK	0.06832050240374159
0	NXPE1	0.3023864272429502
0	OR10AD1	0.5
0	OR10K2	0.14575468109485534
0	OR11H6	0.06583400801140711
0	OR11L1	0.33869580096313867
0	OR12D2	0.31867594411696853
0	OR2T4	0.33518534191122895
0	OR56A1	0.3743870208532736
0	OR5AN1	0.12841962897892828
0	OR5M9	0.2789347204120217
0	OR6T1	0.22979869309197115
0	OR7E24	0.19568296915377592
0	OTOGL	0.23338536345374267
0	PBXIP1	0.38641499634222376
0	PCDH15	0.2935424101340581
0	PDCD11	0.26912632899425026
0	PDE10A	0.1813876719122603
0	PIM3	0.5
0	PLVAP	0.4115316368790607
0	PODN	0.29794154528258887
0	POLE	0.1176762542365336
0	PPARGC1B	0.29794154528258887
0	PPFIA2	0.2990807263417641
0	PRDM10	0.4155852047708812
0	PRKCA	0.3501556864684451
0	PTPRB	0.41794264824776484
0	RBM10	0.2754924937925467
0	RNF130	0.14442218317324246
0	RP11-407N17.3	0.04428375128768556
0	RUNX1T1	0.37722708874704447
0	S100PBP	0.12410653949496181
0	SCN9A	0.4682451247919205
0	SDK1	0.4301983358198199
0	SETBP1	0.09349298597830341
0	SF3B3	0.03681913506015133
0	SIM1	0.262494866451186
0	SLC39A9	0.5
0	SLC6A17	0.06583400801140711
0	SLC9A2	0.04055261784145273
0	SLITRK3	0.1542548089780002
0	SNTG1	0.41669215572958757
0	SON	0.3255383170389172
0	SORCS3	0.10719380328273659
0	SPEN	0.3152137507679452
0	SPTA1	0.31596511766451885
0	STK11	0.16820841679413756
0	SV2B	0.23524321102939483
0	SVEP1	0.18590509768717567
0	TANC1	0.16137402675556078
0	TBX15	0.38641499634222376
0	TENM4	0.19272990717885802
0	TEX15	0.08625647008464493
0	TIAM2	0.4298418975993331
0	TP53	0.16787539038793553
0	TRIM7	0.5
0	TRIM9	0.42085178137670887
0	TRIP12	0.24812123722213147
0	TSHR	0.19807195457603705
0	TSHZ3	0.3963737401867311
0	UHRF1BP1L	0.07736446174268921
0	USH2A	0.11952081387759994
0	USP38	0.2541657867760727
0	UTP20	0.2948192758132836
0	VCAN	0.23189315912267883
0	XIRP2	0.4951864801887093
0	ZDHHC6	0.5
0	ZNF335	0.40683185788339593
0	ZNF831	0.495402651762842
0	ADAM15	0.5
0	APC	0.31054309077841813
0	ATP12A	0.30989819424706655
0	CACNA1F	0.40486602989659504
0	CLCN1	0.31230587738773685
0	CLDN15	0.5
0	COL17A1	0.25634538013096175
0	DCTN2	0.5
0	EDEM2	0.3085375387259869
0	F2R	0.15371708296369768
0	GPRASP1	0.06406354823739109
0	HECTD1	0.32736042300928847
0	KHDRBS2	0.19444270590388257
0	KIF21B	0.35469405750711314
0	LAMC2	0.3027883081676732
0	LRCH3	0.14442218317324246
0	MUC17	0.3569542486271987
0	NUP62CL	0.5
0	OCA2	0.35627581588523727
0	OSGIN2	0.23975006109347674
0	PHLPP2	0.2701456873037099
0	PKHD1	0.10676412106508393
0	PNLIP	0.3094204656987553
0	SERPINA5	0.2704344785732706
0	SLC33A1	0.36183680491588155
0	TMEM132B	0.11564178424933702
0	TRPC4	0.03379345276750017
0	TYR	0.24616534600967027
0	UBR4	0.16606832242964387
0	ZNF536	0.45265405536558395
0	ATP8A2	0.17642636474327994
0	BBOX1	0.2326044092260709
0	BRSK1	0.4319158714273632
0	C1QTNF7	0.23975006109347674
0	C2orf76	0.5
0	CFAP47	0.22126572446605908
0	CNTN5	0.5
0	DHODH	0.5
0	DNAH10	0.1562794162718873
0	DPP10	0.24616534600967027
0	ESRRG	0.28564981074972434
0	FAM47B	0.41369559777600107
0	FAM83B	0.3706527397037386
0	FLG	0.05563479194708384
0	FLT1	0.012154404844233212
0	GABRA6	0.2951072309674887
0	GLUD1	0.5
0	HKR1	0.41912824319291314
0	HTR1E	0.1995375982741186
0	ITGAL	0.15891809417105163
0	KIF4B	0.4743687389329248
0	KMT2D	0.39544116147031205
0	KRTAP24-1	0.3162925608480207
0	LAMA1	0.2471503271438858
0	LRTM1	0.5
0	MED1	0.3255383170389172
0	MICAL2	0.3501556864684451
0	MROH2B	0.2481643142368739
0	MYO18B	0.06379356750850933
0	NCAPD3	0.2476844490095365
0	NLRP12	0.3351109665198547
0	NLRP3	0.10237214469055689
0	NOTCH2	0.25634538013096175
0	OR2M2	0.44101226128965154
0	OSBPL2	0.5
0	PCDH17	0.10187861851968394
0	PIP	0.4012936743170763
0	PRMT2	0.23975006109347674
0	PTPN23	0.3759148170229246
0	RAB36	0.5
0	RGAG1	0.3599589265972232
0	RIMBP2	0.3514587816226833
0	ROBO2	0.23605411388753672
0	RYR1	0.3426544607710134
0	SEC23A	0.07445733658938286
0	SELM	0.5
0	SLC17A6	0.3243940467204808
0	SLC35F1	0.2202003490695016
0	SYNE1	0.35771652937046416
0	TLL1	0.231535507507294
0	TMEM132D	0.2574880425742193
0	TOX2	0.30550231110032505
0	TRANK1	0.22305842386064162
0	TRPM3	0.2648253350266712
0	UBE2L6	0.5
0	USP6	0.03535057243299149
0	UTY	0.5
0	VCAM1	0.3686578386082091
0	ZSCAN4	0.32208361134185515
0	CFH	0.14061483234725758
0	FPR1	0.31867594411696853
0	GRID1	0.3500021287055939
0	IGHM	0.08584084513191031
0	LAMA5	0.31815430468213357
0	MARCO	0.21690432421099848
0	NAT10	0.4155852047708812
0	NCOR2	0.09568293639285846
0	PCDHB4	0.22275692491999172
0	PTPRZ1	0.4566157032360921
0	SMAD4	0.2701456873037099
0	SPAM1	0.3152137507679452
0	AKNAD1	0.4012936743170763
0	ARIH2OS	0.23975006109347674
0	ARNT	0.5
0	ASTN1	0.12091024854814392
0	ATP10A	0.27731409800770024
0	ATP6V1D	0.23975006109347674
0	C14orf37	0.31867594411696853
0	C3	0.5
0	CAND1	0.5
0	CENPF	0.10437526605043207
0	CES5A	0.23680547919054035
0	COBL	0.18115014810930452
0	COL25A1	0.2778448951413973
0	CRIPAK	0.11929641465821778
0	CTNNA2	0.4412663015078445
0	CYP11B1	0.3927473735591771
0	DMD	0.26425258841309507
0	DOCK11	0.08876492620607684
0	DSP	0.19320024915079453
0	DYSF	0.20465161842333995
0	FTL	0.5
0	GPR45	0.2089150628156649
0	GRM1	0.07317409441459385
0	HIST1H2BC	0.25249253754692297
0	HMCN1	0.22611455489457688
0	HSPG2	0.1813876719122603
0	HTT	0.2858038224766658
0	IRX1	0.33250277105101456
0	KIAA0391	0.3085375387259869
0	KMT2A	0.14671471064890168
0	MGA	0.19587440389718824
0	NF1	0.2332179526055439
0	NFKBIZ	0.3312602917700287
0	OR2F2	0.011239436683062633
0	OR4K13	0.06406354823739109
0	OR4Q3	0.36183680491588155
0	PRAMEF15	0.2709515899935292
0	PSMC3IP	0.5
0	PTK6	0.5
0	RNF111	0.5
0	SAMD9L	0.22758059048363072
0	SIPA1L1	0.19541411542599535
0	SLC12A9	0.5
0	TRO	0.26308423887807164
0	ZEB2	0.18483600236506087
0	ZNF648	0.42756607029235294
0	ADAMTS13	0.09121121972586793
0	ADAMTS4	0.16171817552264695
0	AIM1L	0.33869580096313867
0	ANKRD30A	0.21143595354708955
0	ANO7	0.41054879177597975
0	BNC1	0.10378922116781208
0	C16orf90	0.25249253754692297
0	C4orf45	0.5
0	CACNA1E	0.15024085958434763
0	CHKB	0.5
0	CNTLN	0.41912824319291314
0	COL9A3	0.2754924937925467
0	DNMT3A	0.3743870208532736
0	DYNLT1	0.5
0	FAM71B	0.34813517005701144
0	FMN2	0.08851748449389829
0	GLI3	0.3341175708976247
0	GREB1	0.2937969239778289
0	LRP12	0.40683185788339593
0	LRRN2	0.2476844490095365
0	MIPEP	0.5
0	NLRP14	0.21917617432781172
0	NPFFR2	0.26354462843276905
0	NSDHL	0.5
0	OR2W3	0.26208914167388137
0	PAPPA2	0.2679358830299276
0	PROKR2	0.2778448951413973
0	PSG3	0.23772984650044304
0	PTGS2	0.3759148170229246
0	SALL1	0.48108360000070366
0	SDAD1	0.08292833017145501
0	SELP	0.08592866953139966
0	SH2D2A	0.36183680491588155
0	SLC32A1	0.11925127613616271
0	SPPL2A	0.06182885520141673
0	TAOK2	0.15371708296369768
0	TLN2	0.24616534600967027
0	TMPRSS11E	0.33869580096313867
0	TTN	0.07933741621726054
0	XYLT1	0.10113697195122306
0	ZNF770	0.2266273523768682
0	ZNF98	0.3442498705483172
0	ALX1	0.2071080891212626
0	EGFR	0.0898121421866595
0	MYH3	0.23228597169082593
0	OR4K17	0.08484305035126
0	AGPAT2	0.5
0	ANO5	0.19162494164262855
0	C15orf48	0.5
0	C16orf62	0.2701456873037099
0	CCDC178	0.18924726291321126
0	CDK12	0.30853753872598694
0	CHRNA4	0.1323081085417943
0	CLEC4F	0.17139085557395572
0	CYBB	0.2234104383543487
0	DNAH11	0.01824390303772028
0	DNAH5	0.025836894888632816
0	FLG2	0.3808510133221902
0	GCN1L1	0.22512945819098584
0	GPR158	0.011029240505182177
0	GSE1	0.36183680491588155
0	IGKV1-27	0.5
0	IGSF10	0.03399154796169349
0	KIF4A	0.3442498705483172
0	LAMB1	0.4499535024213813
0	LRRIQ1	0.36388261800298305
0	MCF2	0.2704344785732706
0	MYCBP2	0.33908467713704893
0	NGEF	0.3027883081676732
0	NPAS4	0.20148788457747213
0	OR4A47	0.4298418975993331
0	OR52M1	0.5
0	PARP14	0.4012936743170763
0	POLR2M	0.12410653949496181
0	PRUNE2	0.3099087452553149
0	RIMS2	0.24329507511179038
0	RNF135	0.5
0	RNF148	0.5
0	SEMA3D	0.30491702183672975
0	SERPINA11	0.2990807263417641
0	SPATA31A1	0.13189688456423354
0	SYTL4	0.5
0	TDP1	0.1508497912391739
0	TUBA1C	0.23975006109347674
0	ZFYVE26	0.3717103488476262
0	ZNF804B	0.1190870181472673
0	ACSS1	0.5
0	AMDHD2	0.3085375387259869
0	ANKHD1-EIF4EBP3	0.2593025082143628
0	ATPAF1	0.23975006109347674
0	BIRC6	0.3909810862922988
0	C10orf90	0.19444270590388257
0	C1orf115	0.5
0	CABIN1	0.3312602917700287
0	CD163	0.23137897666857515
0	CPN2	0.39463401306714063
0	FAT4	0.057567852358520286
0	GPR139	0.1578121503676605
0	KANK4	0.2614083269595443
