hugo_symbol	n.x	status	n.y	perc
ABCC10	1	NS	6	16.666666666666664
ACAP3	1	NS	2	50
AFF4	1	NS	9	11.11111111111111
AKAP6	1	NS	13	7.6923076923076925
ASPHD1	1	NS	4	25
BCL11B	1	NS	5	20
BRI3BP	1	NS	5	20
CCDC144A	1	NS	6	16.666666666666664
CD1D	1	NS	8	12.5
CKAP4	1	NS	2	50
DEFB116	1	NS	1	100
DNAH3	1	NS	13	7.6923076923076925
DNMBP	1	NS	5	20
ERBB4	1	NS	6	16.666666666666664
FCHO1	1	NS	6	16.666666666666664
FGFR3	1	NS	27	3.7037037037037033
FMNL1	1	NS	4	25
GNAS	1	NS	4	25
H3F3A	1	NS	4	25
HIF1A	1	NS	3	33.33333333333333
KBTBD4	1	NS	1	100
KPNB1	1	NS	8	12.5
KRIT1	1	NS	8	12.5
LLGL2	1	NS	4	25
LRRC4	1	NS	4	25
LSM14A	1	NS	6	16.666666666666664
MACROD2	1	NS	2	50
ME3	1	NS	4	25
MLXIP	1	NS	3	33.33333333333333
MPRIP	1	NS	3	33.33333333333333
MYOZ2	1	NS	1	100
NLRP4	1	NS	7	14.285714285714285
NPHP3	1	NS	7	14.285714285714285
PCDHA7	1	NS	9	11.11111111111111
PCDHGA7	1	NS	7	14.285714285714285
PLEKHG6	1	NS	4	25
PPARG	1	NS	9	11.11111111111111
PUSL1	1	NS	3	33.33333333333333
RBM25	1	NS	1	100
ROS1	1	NS	9	11.11111111111111
RPTOR	1	NS	8	12.5
RXRA	1	NS	9	11.11111111111111
SHC1	1	NS	2	50
SIGLEC8	1	NS	2	50
SLC22A2	1	NS	3	33.33333333333333
SMARCD2	1	NS	2	50
ST5	1	NS	4	25
STT3B	1	NS	2	50
SYNE1	1	NS	37	2.7027027027027026
TCEB3	1	NS	3	33.33333333333333
TMEM165	1	NS	1	100
TMEM67	1	NS	5	20
TPPP2	1	NS	2	50
TTN	2	NS	91	2.197802197802198
TXNDC16	1	NS	6	16.666666666666664
UACA	1	NS	6	16.666666666666664
UGT3A2	1	NS	4	25
UPF2	1	NS	9	11.11111111111111
VIM	1	NS	5	20
VSIG4	1	NS	2	50
WDR36	1	NS	6	16.666666666666664
WDR37	1	NS	3	33.33333333333333
ZBED9	1	NS	7	14.285714285714285
ZNF184	2	NS	4	50
ZNF227	1	NS	4	25
ZNF511	1	NS	4	25
ABCB6	1	NS	4	25
ACAD9	1	NS	3	33.33333333333333
ACSM2B	1	NS	2	50
ADAMTS13	1	NS	3	33.33333333333333
AFP	1	NS	3	33.33333333333333
AFTPH	1	NS	5	20
AGAP2	1	NS	3	33.33333333333333
AGT	1	NS	3	33.33333333333333
AGTPBP1	1	NS	5	20
AHI1	1	NS	4	25
AHNAK	1	NS	22	4.545454545454546
AKAP1	1	NS	3	33.33333333333333
AKAP9	1	NS	21	4.761904761904762
ALDH1A3	1	NS	3	33.33333333333333
AMMECR1L	1	NS	1	100
AMZ2	1	NS	3	33.33333333333333
ANK1	1	NS	6	16.666666666666664
APBB1IP	1	NS	3	33.33333333333333
ARV1	1	NS	3	33.33333333333333
