hugo_symbol	n.x	status	n.y	perc
ABCA13	1	NS	11	9.090909090909092
ADAM10	1	NS	2	50
ADAR	1	NS	4	25
AKAP11	1	NS	3	33.33333333333333
APPL2	1	NS	2	50
ARPP21	1	NS	3	33.33333333333333
ARSJ	1	NS	2	50
ASB6	1	NS	2	50
ATXN10	1	NS	4	25
BARD1	1	NS	4	25
BAZ2A	1	NS	3	33.33333333333333
BAZ2B	1	NS	7	14.285714285714285
BCHE	1	NS	3	33.33333333333333
CEP250	1	NS	4	25
CEP76	1	NS	3	33.33333333333333
CERS3	1	NS	2	50
COL14A1	1	NS	9	11.11111111111111
COL24A1	1	NS	8	12.5
CPSF1	1	NS	3	33.33333333333333
CTNNAL1	1	NS	3	33.33333333333333
DCAF4	1	NS	5	20
DHX36	1	NS	4	25
DNAH10	1	NS	8	12.5
DPRX	1	NS	2	50
DPYSL5	1	NS	3	33.33333333333333
EVPL	1	NS	3	33.33333333333333
EYA3	1	NS	1	100
FRMPD1	1	NS	1	100
GABRA1	1	NS	5	20
GALNT9	1	NS	1	100
GGCX	1	NS	3	33.33333333333333
GLB1L	1	NS	2	50
GPM6A	1	NS	4	25
GTF3C3	1	NS	4	25
GTF3C4	1	NS	2	50
HAPLN3	1	NS	4	25
HIPK1	1	NS	4	25
HIST3H2A	1	NS	1	100
IFT172	1	NS	4	25
IGKV1D-42	1	NS	1	100
JAG2	1	NS	4	25
KDM1A	1	NS	2	50
KLF1	1	NS	2	50
LIN54	1	NS	2	50
LRP1B	1	NS	28	3.571428571428571
LRSAM1	1	NS	3	33.33333333333333
MESP2	1	NS	1	100
MPP2	1	NS	4	25
MRPL4	2	NS	1	200
MYO9A	1	NS	7	14.285714285714285
NDRG3	1	NS	2	50
NLRP10	1	NS	2	50
NLRP5	1	NS	8	12.5
NOP58	1	NS	1	100
NPHP3	1	NS	4	25
NUFIP2	1	NS	3	33.33333333333333
NUGGC	1	NS	2	50
OR10X1	1	NS	2	50
OR2M4	1	NS	3	33.33333333333333
OR4C15	1	NS	6	16.666666666666664
P2RY1	1	NS	2	50
PCDHA10	1	NS	8	12.5
PCDHA13	1	NS	12	8.333333333333332
PEX12	1	NS	2	50
PFKFB3	1	NS	3	33.33333333333333
PKHD1	1	NS	13	7.6923076923076925
PLEKHG4	1	NS	3	33.33333333333333
PPP2R5D	1	NS	3	33.33333333333333
PPP4R1	1	NS	2	50
PRC1	1	NS	3	33.33333333333333
PRMT2	1	NS	2	50
PRR30	1	NS	1	100
RANBP10	1	NS	3	33.33333333333333
RARG	1	NS	5	20
RGS7BP	1	NS	1	100
RIOK3	1	NS	2	50
RNF111	1	NS	3	33.33333333333333
RPS3	1	NS	1	100
RRAS2	1	NS	1	100
SHC4	1	NS	3	33.33333333333333
SI	1	NS	11	9.090909090909092
SIPA1L3	1	NS	4	25
SLC7A14	1	NS	5	20
SLC8B1	1	NS	2	50
SMG1	1	NS	5	20
SPRY3	1	NS	1	100
SSFA2	1	NS	4	25
SYF2	1	NS	1	100
TBPL1	1	NS	1	100
TMEM2	1	NS	6	16.666666666666664
TMEM87A	1	NS	2	50
TNN	1	NS	8	12.5
TNR	1	NS	7	14.285714285714285
TRAPPC9	1	NS	4	25
TSLP	1	NS	1	100
USP5	1	NS	4	25
UTRN	1	NS	11	9.090909090909092
VANGL2	1	NS	4	25
VCL	1	NS	2	50
WAPAL	1	NS	2	50
ZDHHC20	1	NS	1	100
ZFR	1	NS	2	50
ZMAT2	1	NS	2	50
