hugo_symbol	n.x	status	n.y	perc
ABAT	1	NS	1	100
ABCC9	1	NS	3	33.33333333333333
AGBL2	1	NS	2	50
AMZ1	1	NS	1	100
ANK2	1	NS	19	5.263157894736842
ANKAR	1	NS	4	25
ANKRD13D	1	NS	1	100
ARHGEF16	1	NS	1	100
ARMT1	1	NS	1	100
ASNSD1	1	NS	2	50
ATP6V1A	1	NS	6	16.666666666666664
ATP8B4	1	NS	3	33.33333333333333
BCAT2	1	NS	1	100
BDP1	1	NS	2	50
BSDC1	1	NS	2	50
BTLA	1	NS	1	100
C2CD5	1	NS	2	50
CALB2	1	NS	4	25
CCDC113	1	NS	1	100
CCDC125	1	NS	2	50
CCDC150	1	NS	3	33.33333333333333
CCDC185	1	NS	2	50
CCDC47	1	NS	1	100
CDCP2	1	NS	3	33.33333333333333
CDH8	1	NS	6	16.666666666666664
CGNL1	1	NS	3	33.33333333333333
CKLF-CMTM1	1	NS	1	100
CLOCK	1	NS	1	100
CMPK1	1	NS	1	100
COL6A6	1	NS	5	20
CRYGA	2	NS	1	200
CYP11B2	1	NS	2	50
DENND6B	1	NS	2	50
DNAH7	1	NS	9	11.11111111111111
DNAH8	1	NS	11	9.090909090909092
DNAH9	1	NS	11	9.090909090909092
DNASE1L1	1	NS	1	100
EFHB	1	NS	2	50
EHF	1	NS	2	50
EIF3E	1	NS	2	50
EPHA5	1	NS	9	11.11111111111111
ESYT3	1	NS	3	33.33333333333333
EXOSC5	1	NS	1	100
EXPH5	1	NS	4	25
FAM171B	1	NS	2	50
FAM47A	1	NS	3	33.33333333333333
FBXO27	1	NS	2	50
FEM1C	1	NS	2	50
FNBP1	1	NS	1	100
FREM2	1	NS	7	14.285714285714285
GGNBP2	1	NS	2	50
GLDC	1	NS	1	100
GLRX3	1	NS	1	100
GNPDA2	1	NS	1	100
GPR158	1	NS	4	25
GPX5	1	NS	1	100
GRIA4	1	NS	4	25
GRIN2A	1	NS	11	9.090909090909092
GRM2	1	NS	1	100
GRM6	1	NS	4	25
GTF3C1	1	NS	7	14.285714285714285
GUCY2F	1	NS	3	33.33333333333333
HLA-B	1	NS	1	100
HTT	1	NS	4	25
IBTK	1	NS	1	100
ING5	1	NS	1	100
IQCB1	1	NS	1	100
JAKMIP1	1	NS	1	100
KCND2	1	NS	5	20
LAMB4	1	NS	2	50
LAP3	1	NS	1	100
LENG9	1	NS	1	100
LMBR1L	1	NS	2	50
LRCH3	1	NS	2	50
LRP1B	1	NS	23	4.3478260869565215
LSG1	1	NS	3	33.33333333333333
MACROD2	1	NS	3	33.33333333333333
MCC	1	NS	2	50
MLH3	1	NS	2	50
MMP16	1	NS	7	14.285714285714285
MOAP1	1	NS	3	33.33333333333333
MRPL32	1	NS	3	33.33333333333333
MTFR2	1	NS	1	100
MUC16	1	NS	33	3.0303030303030303
MYCBP2	1	NS	7	14.285714285714285
MYCT1	1	NS	2	50
MYH8	1	NS	7	14.285714285714285
NCOR2	1	NS	2	50
NDUFAF7	1	NS	1	100
NEK1	1	NS	2	50
NET1	1	NS	1	100
NEU4	1	NS	2	50
NFASC	1	NS	4	25
NINL	1	NS	5	20
NLRP13	1	NS	8	12.5
NUCB1	1	NS	2	50
NUP155	1	NS	5	20
NUP43	1	NS	1	100
OR10G8	1	NS	3	33.33333333333333
OR4C46	1	NS	4	25
OR5AC2	1	NS	3	33.33333333333333
OR5M11	1	NS	2	50
PAPPA2	1	NS	17	5.88235294117647
PCID2	1	NS	2	50
PDHA1	1	NS	1	100
PDZD2	2	NS	5	40
PES1	2	NS	1	200
PLCE1	1	NS	2	50
PLCH1	1	NS	10	10
POTEH	1	NS	7	14.285714285714285
POU2AF1	1	NS	1	100
PRDM5	1	NS	5	20
PRKCQ	1	NS	2	50
PRPF3	1	NS	2	50
PRR5-ARHGAP8	1	NS	2	50
PSD3	1	NS	2	50
PSMD5	1	NS	2	50
PTPN22	1	NS	4	25
PYGM	1	NS	3	33.33333333333333
QRSL1	1	NS	1	100
RBBP5	1	NS	1	100
RBCK1	1	NS	1	100
RDH8	1	NS	1	100
RELN	1	NS	7	14.285714285714285
REPS2	1	NS	2	50
RIMS1	1	NS	5	20
RNF125	1	NS	1	100
RP1	1	NS	7	14.285714285714285
RPP30	1	NS	2	50
SCGB2A1	1	NS	1	100
SEPT3	1	NS	2	50
SERPINA7	1	NS	1	100
SKOR2	1	NS	1	100
SLC25A37	1	NS	1	100
SLC35G6	1	NS	1	100
SLC39A3	1	NS	2	50
SMCHD1	1	NS	5	20
SMG1	1	NS	2	50
SPATA22	1	NS	2	50
SPATA8	1	NS	2	50
SSMEM1	1	NS	2	50
STIL	1	NS	2	50
SYDE2	1	NS	3	33.33333333333333
SYT12	1	NS	1	100
TACR3	1	NS	2	50
TAOK1	1	NS	3	33.33333333333333
TAS1R1	1	NS	3	33.33333333333333
TBC1D9	1	NS	2	50
TMEM200C	1	NS	2	50
TNS2	1	NS	2	50
TP53	1	NS	36	2.7777777777777777
TPCN1	1	NS	1	100
TRIM49	1	NS	9	11.11111111111111
TRIOBP	1	NS	4	25
TRPC4AP	2	NS	4	50
TRPC5	1	NS	6	16.666666666666664
TTN	1	NS	50	2
TWF2	1	NS	1	100
UBAP2L	1	NS	4	25
UBR5	1	NS	2	50
UGT3A1	1	NS	4	25
URB2	1	NS	2	50
USP8	1	NS	1	100
VPS13A	1	NS	4	25
WDR63	1	NS	2	50
WDR90	1	NS	3	33.33333333333333
YAF2	1	NS	1	100
ZEB1	1	NS	7	14.285714285714285
ZFP28	1	NS	1	100
ZKSCAN8	1	NS	2	50
ZNF229	2	NS	4	50
ZNF585A	1	NS	1	100
ZNF804B	1	NS	14	7.142857142857142
ZNF90	1	NS	1	100
ZZZ3	1	NS	2	50
ABCB11	1	NS	5	20
ADAM23	1	NS	4	25
ADAMTS17	1	NS	3	33.33333333333333
AKAP13	1	NS	5	20
ALDOA	1	NS	1	100
ANO5	1	NS	4	25
AP4B1	1	NS	1	100
BANP	1	NS	3	33.33333333333333
BAX	1	NS	1	100
BCL2L14	1	NS	1	100
CACNA1G	1	NS	8	12.5
CCDC174	1	NS	1	100
CD5	1	NS	1	100
CDCA5	1	NS	1	100
CDYL2	1	NS	2	50
CEP68	1	NS	2	50
CHRNA1	1	NS	4	25
CIT	1	NS	3	33.33333333333333
CLCA1	1	NS	2	50
CMA1	1	NS	3	33.33333333333333
CMTR2	1	NS	1	100
CNTN3	2	NS	4	50
COG2	1	NS	1	100
CPSF4	1	NS	1	100
CRTAM	1	NS	3	33.33333333333333
CRX	1	NS	1	100
CSMD1	1	NS	11	9.090909090909092
CSPG5	1	NS	2	50
CYFIP1	1	NS	2	50
CYP7A1	1	NS	5	20
DEFB1	1	NS	1	100
DEPDC1	1	NS	1	100
DGKB	1	NS	3	33.33333333333333
DLGAP1	1	NS	4	25
DNAH12	1	NS	1	100
DRD5	1	NS	2	50
DSC2	1	NS	1	100
ENTPD6	1	NS	2	50
EPB41L3	3	NS	7	42.857142857142854
FAM13A	1	NS	2	50
FAT3	2	NS	11	18.181818181818183
FLG	1	NS	10	10
FMN2	2	NS	10	20
FRZB	1	NS	1	100
GABBR2	1	NS	2	50
GABRG3	1	NS	3	33.33333333333333
GALNT6	1	NS	1	100
GALNTL6	1	NS	4	25
GPR63	1	NS	5	20
HGF	1	NS	5	20
HHLA2	1	NS	1	100
HIVEP1	1	NS	3	33.33333333333333
HTR2C	1	NS	2	50
HTR3A	1	NS	2	50
IKBKAP	1	NS	2	50
KIAA1210	1	NS	3	33.33333333333333
KIAA1429	1	NS	6	16.666666666666664
KIAA1462	1	NS	1	100
KRT2	1	NS	2	50
LAMA2	1	NS	17	5.88235294117647
LAMA3	1	NS	2	50
LCA5	1	NS	1	100
LCP1	1	NS	5	20
LECT1	1	NS	1	100
LMX1A	1	NS	2	50
LRFN1	1	NS	1	100
LRIT1	1	NS	1	100
LRRN2	1	NS	2	50
LYZL4	1	NS	1	100
MAGI2	1	NS	5	20
MGAT4C	2	NS	3	66.66666666666666
MRPS14	1	NS	1	100
MUC17	1	NS	10	10
MYO5B	1	NS	4	25
NCOA2	1	NS	1	100
NF1	1	NS	4	25
NFE2L2	1	NS	7	14.285714285714285
NHP2L1	1	NS	1	100
NIPAL2	1	NS	1	100
NPL	1	NS	1	100
NSD1	1	NS	2	50
NT5E	1	NS	1	100
NTRK3	1	NS	1	100
OR4C16	1	NS	3	33.33333333333333
OR4P4	1	NS	4	25
OR4S2	1	NS	2	50
OR51T1	1	NS	2	50
OR5AS1	1	NS	2	50
OR5B21	1	NS	2	50
OR5V1	1	NS	2	50
OR6S1	1	NS	1	100
PAPD5	1	NS	1	100
PCDH10	1	NS	7	14.285714285714285
PDE6B	1	NS	1	100
PDZRN3	1	NS	7	14.285714285714285
PEX5	1	NS	3	33.33333333333333
PITX2	1	NS	3	33.33333333333333
PKHD1L1	1	NS	13	7.6923076923076925
PLA2G2C	1	NS	1	100
PLAA	1	NS	1	100
PRG4	1	NS	4	25
PRICKLE4	1	NS	1	100
PRR5-ARHGAP8	1	NS	2	50
PXDN	2	NS	6	33.33333333333333
RASGRF2	1	NS	3	33.33333333333333
RIT2	1	NS	3	33.33333333333333
RREB1	1	NS	6	16.666666666666664
RSF1	1	NS	4	25
S1PR4	1	NS	1	100
SCN2A	1	NS	7	14.285714285714285
SLC17A6	1	NS	6	16.666666666666664
SLC6A15	1	NS	2	50
SLC6A2	1	NS	3	33.33333333333333
SMAD1	1	NS	2	50
SMARCA5	1	NS	3	33.33333333333333
STK31	1	NS	2	50
SV2B	1	NS	2	50
TAF6	1	NS	3	33.33333333333333
TAPBP	1	NS	2	50
TARBP2	1	NS	1	100
TAS2R16	1	NS	2	50
TENM3	1	NS	5	20
TNKS	1	NS	2	50
TNS1	1	NS	4	25
TRIM51	1	NS	6	16.666666666666664
TRPA1	1	NS	5	20
TTC27	1	NS	1	100
TTN	1	NS	50	2
TUT1	1	NS	2	50
UBR2	1	NS	2	50
UNC13B	1	NS	2	50
USP42	1	NS	1	100
VCAN	1	NS	8	12.5
VGLL1	1	NS	1	100
WDR70	1	NS	2	50
WIF1	1	NS	1	100
WNT2	1	NS	2	50
XIRP2	1	NS	17	5.88235294117647
ZBED9	2	NS	6	33.33333333333333
ZC3H6	1	NS	1	100
ZNF512	1	NS	2	50
ZNF735	1	NS	3	33.33333333333333
ZNF93	1	NS	2	50
ZSWIM4	1	NS	2	50
A2M	1	NS	2	50
AADAT	1	NS	1	100
ABCF2	2	NS	2	100
ACACB	1	NS	3	33.33333333333333
ADAM12	1	NS	4	25
AGBL5	1	NS	2	50
AKAP8	1	NS	2	50
ALPL	1	NS	1	100
AMELX	1	NS	1	100
ANKRD11	1	NS	4	25
ANKRD26	2	NS	4	50
ANKRD34A	1	NS	3	33.33333333333333
ANO3	1	NS	5	20
ANXA11	1	NS	1	100
ARFGAP2	1	NS	1	100
B4GALNT3	1	NS	3	33.33333333333333
C1orf112	1	NS	1	100
C1QBP	1	NS	1	100
C22orf31	1	NS	1	100
C5orf45	1	NS	1	100
C9orf173	1	NS	2	50
CCDC125	1	NS	2	50
CCDC93	1	NS	2	50
CD2BP2	1	NS	1	100
CD6	1	NS	3	33.33333333333333
CDK15	1	NS	2	50
CFAP44	1	NS	4	25
CHAD	1	NS	1	100
CHODL	1	NS	1	100
CMIP	1	NS	1	100
COL11A2	1	NS	3	33.33333333333333
COX6C	1	NS	1	100
CPNE2	1	NS	1	100
CPNE4	1	NS	3	33.33333333333333
CRNKL1	1	NS	1	100
CSE1L	1	NS	2	50
CSMD2	1	NS	14	7.142857142857142
CT55	1	NS	1	100
CTNNAL1	1	NS	2	50
CYC1	2	NS	2	100
CYP4V2	1	NS	3	33.33333333333333
CYP7A1	2	NS	5	40
DBN1	1	NS	2	50
DNAH2	1	NS	9	11.11111111111111
DNAH5	1	NS	17	5.88235294117647
DSCR4	1	NS	1	100
DTX4	1	NS	3	33.33333333333333
DUXA	1	NS	1	100
DZIP3	1	NS	7	14.285714285714285
EFHB	1	NS	2	50
EHBP1	2	NS	2	100
ESRRA	1	NS	1	100
EXTL1	1	NS	1	100
F10	1	NS	1	100
FAM83B	1	NS	3	33.33333333333333
FAT4	1	NS	8	12.5
FBXW7	1	NS	2	50
FER	1	NS	1	100
FKBPL	1	NS	1	100
FMO3	2	NS	1	200
FOPNL	1	NS	1	100
FSD1	1	NS	2	50
GCN1L1	1	NS	3	33.33333333333333
GLI1	1	NS	3	33.33333333333333
GPR161	1	NS	2	50
GRAMD1A	2	NS	1	200
HEATR3	1	NS	1	100
HFM1	1	NS	2	50
HIC1	1	NS	1	100
HIST1H3F	1	NS	2	50
HPSE2	1	NS	1	100
HR	1	NS	1	100
HSD17B11	1	NS	1	100
HSF4	1	NS	2	50
HTR6	1	NS	3	33.33333333333333
IGHD	1	NS	3	33.33333333333333
IRX5	1	NS	2	50
ITIH3	1	NS	1	100
KEAP1	2	NS	9	22.22222222222222
KIAA0355	1	NS	2	50
KIAA2018	1	NS	7	14.285714285714285
KLHL24	1	NS	3	33.33333333333333
KPNA4	1	NS	2	50
LIG4	1	NS	3	33.33333333333333
LILRA1	1	NS	5	20
LMOD1	1	NS	2	50
LOXL2	1	NS	1	100
LPAR2	1	NS	1	100
LRIG2	1	NS	1	100
LRP1	1	NS	3	33.33333333333333
LRRC16B	1	NS	4	25
