hugo_symbol	n.x	status	n.y	perc
ABCC10	1	NS	1	100
ABCG1	1	NS	1	100
ADAMTS15	1	NS	3	33.33333333333333
ADAMTS9	1	NS	2	50
ATG2B	1	NS	1	100
CXCL12	1	NS	1	100
DENND1A	1	NS	2	50
DNAH11	1	NS	3	33.33333333333333
DNAH3	1	NS	3	33.33333333333333
DNER	1	NS	1	100
FBLN2	1	NS	2	50
GABBR1	1	NS	1	100
GK	1	NS	1	100
HECW1	1	NS	3	33.33333333333333
KRAS	1	NS	80	1.25
MARCH5	1	NS	1	100
MEFV	1	NS	3	33.33333333333333
NTNG1	1	NS	3	33.33333333333333
PPP4R2	1	NS	1	100
PSG1	1	NS	1	100
RASGEF1A	1	NS	1	100
SYNE1	1	NS	4	25
SYT4	1	NS	1	100
TGM3	1	NS	1	100
TMEM257	1	NS	1	100
TP53	1	NS	46	2.1739130434782608
URI1	1	NS	1	100
USP34	1	NS	1	100
VSTM4	1	NS	1	100
WDR48	1	NS	2	50
ZNF345	1	NS	1	100
ZNF506	1	NS	1	100
ZP3	1	NS	1	100
ADAD2	1	NS	1	100
AJAP1	1	NS	3	33.33333333333333
AQP4	1	NS	1	100
ASPM	1	NS	4	25
CACNA1F	1	NS	1	100
CDC25A	1	NS	1	100
CENPJ	1	NS	2	50
CFAP47	1	NS	2	50
DHRS2	1	NS	1	100
DUOXA2	1	NS	2	50
EFCAB6	1	NS	1	100
EIF4ENIF1	1	NS	1	100
ETS1	1	NS	1	100
FPR1	1	NS	1	100
FSHR	1	NS	1	100
GGCX	1	NS	1	100
GPR26	1	NS	2	50
GRIK4	1	NS	1	100
HYDIN	1	NS	2	50
IGF2R	1	NS	2	50
ITGB2	1	NS	1	100
KCNG3	1	NS	2	50
KIF1A	1	NS	1	100
KRAS	1	NS	80	1.25
KSR2	1	NS	2	50
KY	1	NS	1	100
LCE2C	1	NS	1	100
LMF2	1	NS	1	100
MN1	1	NS	1	100
MYL9	1	NS	1	100
MYT1L	1	NS	2	50
NPHS2	1	NS	1	100
NUP210	1	NS	2	50
OR14A16	1	NS	1	100
OR2L8	1	NS	1	100
OR4F6	1	NS	1	100
PCDH9	1	NS	2	50
PCNX	1	NS	1	100
PIF1	1	NS	1	100
PITPNM1	1	NS	1	100
PLEKHA4	1	NS	1	100
POTEE	1	NS	3	33.33333333333333
PRPF39	1	NS	1	100
PTPN13	1	NS	3	33.33333333333333
PXK	1	NS	1	100
RSPH10B	1	NS	1	100
RSPH6A	1	NS	1	100
SALL2	1	NS	1	100
SCN5A	1	NS	3	33.33333333333333
SEMA3A	1	NS	1	100
SESTD1	1	NS	1	100
SGSM1	1	NS	2	50
SH3TC2	1	NS	1	100
SIGLEC6	1	NS	1	100
SP140	1	NS	1	100
