hugo_symbol	n.x	status	n.y	perc
ABCA13	1	NS	15	6.666666666666667
ABCA2	1	NS	9	11.11111111111111
ABHD17B	1	NS	3	33.33333333333333
ACTR6	1	NS	1	100
ADAM10	1	NS	2	50
ADAR	1	NS	4	25
ADGRB1	1	NS	4	25
AKAP11	1	NS	2	50
APPL2	1	NS	2	50
ARPP21	1	NS	3	33.33333333333333
ARSJ	1	NS	1	100
ASB6	1	NS	2	50
ATXN10	1	NS	4	25
BARD1	1	NS	6	16.666666666666664
BAZ2A	1	NS	4	25
BAZ2B	1	NS	7	14.285714285714285
BCHE	1	NS	3	33.33333333333333
CEP250	1	NS	4	25
CEP76	1	NS	4	25
CERS3	1	NS	2	50
COL14A1	1	NS	13	7.6923076923076925
COL24A1	1	NS	9	11.11111111111111
COL8A1	1	NS	2	50
CPSF1	1	NS	3	33.33333333333333
CTC1	1	NS	5	20
CTNNAL1	1	NS	3	33.33333333333333
DCAF4	1	NS	5	20
DHX36	1	NS	4	25
DNAH10	1	NS	10	10
DPRX	1	NS	2	50
DPYSL5	1	NS	3	33.33333333333333
EDDM3A	1	NS	1	100
EVPL	1	NS	7	14.285714285714285
EYA3	1	NS	1	100
FAM46A	1	NS	2	50
FAT1	2	NS	30	6.666666666666667
FRMPD1	1	NS	2	50
GABRA1	1	NS	5	20
GALNT9	1	NS	1	100
GGCX	1	NS	4	25
GLB1L	1	NS	2	50
GNPAT	1	NS	1	100
GPM6A	1	NS	3	33.33333333333333
GTF3C3	1	NS	4	25
GTF3C4	1	NS	2	50
HAPLN3	1	NS	4	25
HIPK1	1	NS	5	20
HIST3H2A	1	NS	1	100
IFT172	1	NS	5	20
IGKV1D-42	1	NS	1	100
IZUMO1R	1	NS	2	50
KAT5	1	NS	5	20
KDM1A	1	NS	1	100
KIAA1109	2	NS	14	14.285714285714285
KLF1	1	NS	4	25
KRTAP1-3	1	NS	2	50
LIN54	1	NS	3	33.33333333333333
LRP1B	1	NS	30	3.3333333333333335
LRSAM1	1	NS	3	33.33333333333333
LY6D	1	NS	2	50
MED10	1	NS	2	50
MESP2	1	NS	3	33.33333333333333
MPP2	1	NS	4	25
MRPL4	2	NS	1	200
MYO9A	1	NS	7	14.285714285714285
NDRG3	1	NS	2	50
NELL1	1	NS	8	12.5
NLRP10	1	NS	2	50
NLRP5	1	NS	10	10
NOP58	1	NS	1	100
NPHP3	1	NS	4	25
NUFIP2	1	NS	4	25
NUGGC	1	NS	3	33.33333333333333
OR10X1	1	NS	3	33.33333333333333
OR2M4	1	NS	4	25
OR4C15	1	NS	7	14.285714285714285
P2RY1	1	NS	3	33.33333333333333
PCDHA10	1	NS	10	10
PCDHA13	1	NS	12	8.333333333333332
PDE3A	1	NS	10	10
PEX12	1	NS	2	50
PFKFB3	1	NS	3	33.33333333333333
PIP4K2A	1	NS	1	100
PKHD1	1	NS	14	7.142857142857142
PLAT	1	NS	1	100
PLEKHG4	1	NS	3	33.33333333333333
PPP2R5D	1	NS	3	33.33333333333333
PPP4R1	1	NS	2	50
PRC1	1	NS	4	25
PRMT2	1	NS	2	50
PRR30	1	NS	1	100
PRTG	1	NS	4	25
PTCHD2	1	NS	7	14.285714285714285
RANBP10	1	NS	5	20
RARG	1	NS	5	20
RECQL	1	NS	5	20
RGS7BP	1	NS	1	100
RIOK3	1	NS	2	50
RIPK4	1	NS	10	10
RNF111	1	NS	3	33.33333333333333
RPS3	1	NS	1	100
RRAS2	1	NS	1	100
SERTAD3	1	NS	2	50
SHC4	1	NS	3	33.33333333333333
SI	1	NS	12	8.333333333333332
SIPA1L3	1	NS	6	16.666666666666664
SLAMF7	1	NS	1	100
SLC7A14	1	NS	6	16.666666666666664
SLC8B1	1	NS	2	50
SMG1	1	NS	8	12.5
SPANXN4	1	NS	1	100
SPRY3	1	NS	1	100
SRPR	1	NS	2	50
SSFA2	1	NS	4	25
SSTR5	1	NS	1	100
STK4	1	NS	2	50
SYF2	1	NS	1	100
TAS1R2	1	NS	3	33.33333333333333
TBPL1	1	NS	1	100
TMEM2	1	NS	7	14.285714285714285
TMEM87A	1	NS	2	50
TNN	1	NS	9	11.11111111111111
TNR	1	NS	10	10
TRAPPC9	1	NS	5	20
TRIM42	1	NS	4	25
TSLP	1	NS	1	100
USP5	1	NS	4	25
UTRN	1	NS	12	8.333333333333332
VANGL2	1	NS	5	20
VCL	1	NS	2	50
WAPAL	1	NS	3	33.33333333333333
WEE1	1	NS	1	100
WTAP	1	NS	3	33.33333333333333
WWOX	1	NS	2	50
ZDHHC20	1	NS	1	100
ZFR	1	NS	3	33.33333333333333
ZMAT2	1	NS	2	50
ZNF318	1	NS	5	20
ZNF425	1	NS	6	16.666666666666664
ZNF622	1	NS	3	33.33333333333333
ZNF658	1	NS	4	25
ZNF682	1	NS	4	25
ZNF724P	1	NS	2	50
AADACL4	1	NS	4	25
AATK	1	NS	2	50
ABCA10	1	NS	2	50
ABCA4	1	NS	7	14.285714285714285
ABCB4	1	NS	5	20
ABCC4	1	NS	1	100
ABR	1	NS	1	100
ACACB	2	NS	8	25
ACSM2A	1	NS	3	33.33333333333333
ADA	1	NS	1	100
ADAM15	1	NS	2	50
ADAM17	1	NS	4	25
ADAMTS8	1	NS	1	100
ADGRF1	2	NS	4	50
ADGRF5	1	NS	6	16.666666666666664
ADRB1	1	NS	2	50
AGO3	1	NS	5	20
AGRP	1	NS	1	100
AHDC1	1	NS	8	12.5
AHNAK	1	NS	21	4.761904761904762
ALDH1L2	1	NS	2	50
ALS2	1	NS	2	50
ANKS1A	1	NS	1	100
ANO5	2	NS	7	28.57142857142857
AP5Z1	1	NS	3	33.33333333333333
APBB2	1	NS	1	100
APOB	1	NS	14	7.142857142857142
APOLD1	1	NS	2	50
ARFGEF1	2	NS	8	25
ARHGEF10L	1	NS	6	16.666666666666664
ARHGEF17	1	NS	7	14.285714285714285
ARPP21	1	NS	3	33.33333333333333
ASMTL	1	NS	2	50
ASPHD2	1	NS	3	33.33333333333333
ATAD2B	1	NS	7	14.285714285714285
ATAD3B	1	NS	1	100
ATAD5	1	NS	11	9.090909090909092
ATG2A	1	NS	4	25
