hugo_symbol	n.x	status	n.y	perc
ADAM7	1	NS	3	33.33333333333333
AJAP1	1	NS	1	100
ALDOB	1	NS	2	50
ARHGAP22	1	NS	2	50
BMPR1A	1	NS	1	100
CA12	1	NS	2	50
CBX5	1	NS	1	100
CEP192	1	NS	2	50
CEP295	1	NS	2	50
CHD9	1	NS	2	50
CLTC	1	NS	5	20
DNAAF5	1	NS	2	50
DNAH5	1	NS	4	25
DUSP27	1	NS	3	33.33333333333333
DUSP7	1	NS	1	100
EGFLAM	1	NS	2	50
F2RL1	1	NS	1	100
FBXL8	1	NS	1	100
FCGBP	1	NS	2	50
GPR162	1	NS	3	33.33333333333333
GTPBP2	1	NS	1	100
HCCS	1	NS	1	100
HELZ	1	NS	5	20
HS3ST6	1	NS	1	100
HTR2B	1	NS	2	50
KAT6A	1	NS	4	25
KIAA1257	1	NS	1	100
MEGF8	1	NS	6	16.666666666666664
MEP1A	1	NS	2	50
MOV10	1	NS	2	50
NCOR1	1	NS	6	16.666666666666664
NGFR	1	NS	1	100
NRBP1	1	NS	2	50
OR56A4	1	NS	1	100
PCNX	1	NS	4	25
PDE1C	1	NS	2	50
PIDD1	1	NS	3	33.33333333333333
PLXNB2	1	NS	6	16.666666666666664
PRCP	1	NS	1	100
PRSS21	1	NS	3	33.33333333333333
PTPRZ1	1	NS	7	14.285714285714285
RANBP2	1	NS	8	12.5
RNF208	1	NS	1	100
RXRA	1	NS	3	33.33333333333333
SESN3	1	NS	1	100
SLC30A8	1	NS	1	100
SLC39A7	1	NS	2	50
STK17A	1	NS	2	50
TMCC3	1	NS	3	33.33333333333333
TMEM14E	1	NS	1	100
TRAK2	1	NS	1	100
TRHDE	1	NS	2	50
TTC17	1	NS	2	50
TUBGCP6	1	NS	1	100
USP10	1	NS	1	100
VSIG2	1	NS	1	100
WDR33	1	NS	3	33.33333333333333
ZFAND4	1	NS	1	100
ZNF235	1	NS	2	50
ZNF606	1	NS	2	50
ZNF831	1	NS	6	16.666666666666664
AAAS	1	NS	1	100
ACADM	1	NS	2	50
ADAM19	1	NS	2	50
ANGEL1	1	NS	3	33.33333333333333
ANKRD50	1	NS	2	50
APOD	1	NS	1	100
ARHGEF10	1	NS	1	100
ARRDC3	1	NS	2	50
ARSB	1	NS	1	100
ATP2B3	1	NS	2	50
C2CD5	1	NS	5	20
C6	1	NS	2	50
CALU	1	NS	1	100
CANX	1	NS	3	33.33333333333333
CDON	1	NS	3	33.33333333333333
CLCN3	1	NS	3	33.33333333333333
CLEC1A	1	NS	1	100
CNTRL	1	NS	2	50
CPNE5	1	NS	2	50
CROCC	1	NS	1	100
CSNK1E	1	NS	3	33.33333333333333
DDX11	1	NS	1	100
DLC1	1	NS	1	100
DNMT3A	1	NS	2	50
EPHX2	1	NS	1	100
ESR2	1	NS	1	100
FKBP8	1	NS	2	50
FLYWCH1	1	NS	1	100
FOXI1	1	NS	1	100
GJD3	1	NS	2	50
GPATCH1	1	NS	1	100
GPR89A	1	NS	2	50
GPSM1	1	NS	1	100
GRIA1	1	NS	3	33.33333333333333
HIVEP1	1	NS	3	33.33333333333333
HYDIN	1	NS	4	25
IGF2R	1	NS	4	25
KCNB1	1	NS	1	100
KCND2	1	NS	1	100
KLK9	1	NS	1	100
KRT13	1	NS	3	33.33333333333333
LMO7	1	NS	4	25
LRWD1	1	NS	2	50
MAP1B	1	NS	3	33.33333333333333
MGA	1	NS	4	25
MRPS10	1	NS	1	100
MUM1	1	NS	1	100
MYO1H	1	NS	2	50
NBEA	1	NS	4	25
NBPF1	1	NS	1	100
NCF2	1	NS	1	100
NFIC	1	NS	1	100
NHLRC1	1	NS	2	50
NME8	1	NS	1	100
NUP205	1	NS	4	25
NUP210L	1	NS	2	50
NUPL2	1	NS	1	100
OR6C1	1	NS	1	100
P2RY8	1	NS	1	100
P4HA3	1	NS	1	100
PAWR	1	NS	1	100
PCMT1	1	NS	1	100
PCSK6	1	NS	2	50
PCYT2	1	NS	1	100
PDE4DIP	1	NS	4	25
PHLDB1	1	NS	3	33.33333333333333
PLVAP	1	NS	2	50
PRELP	1	NS	1	100
PUM2	1	NS	3	33.33333333333333
RAVER2	1	NS	1	100
RIMBP2	1	NS	2	50
RIPK1	1	NS	1	100
RNF219	1	NS	2	50
RWDD2B	1	NS	1	100
SCAP	1	NS	3	33.33333333333333
SEL1L3	1	NS	4	25
SF3A3	1	NS	1	100
SGTB	1	NS	2	50
SHH	1	NS	1	100
SIN3B	1	NS	2	50
SLC5A5	1	NS	3	33.33333333333333
SLC8A1	1	NS	3	33.33333333333333
SPPL2B	1	NS	1	100
SPTBN1	1	NS	5	20
SUGP2	1	NS	2	50
SYPL1	1	NS	2	50
TBC1D32	1	NS	2	50
TMEM132E	1	NS	2	50
TMEM87B	1	NS	2	50
TMEM88B	1	NS	1	100
TULP4	1	NS	2	50
VDAC3	1	NS	1	100
XKRX	1	NS	1	100
ZFP36L2	1	NS	1	100
ZNF709	1	NS	4	25
ZNF831	1	NS	6	16.666666666666664
ABCG4	1	NS	3	33.33333333333333
ACTR1B	1	NS	2	50
AGT	1	NS	2	50
AKAP9	1	NS	2	50
APBB2	1	NS	2	50
ARHGAP10	1	NS	1	100
ARHGAP23	1	NS	2	50
ATG13	1	NS	2	50
AVIL	1	NS	1	100
B3GALNT1	1	NS	1	100
BAZ1B	1	NS	3	33.33333333333333
BCL10	1	NS	1	100
BMP4	1	NS	1	100
BOD1L1	1	NS	7	14.285714285714285
BPTF	1	NS	4	25
CARD11	1	NS	2	50
CAT	1	NS	1	100
CCDC57	1	NS	4	25
CD163L1	1	NS	4	25
CD22	1	NS	1	100
CLIP2	1	NS	3	33.33333333333333
CST2	1	NS	1	100
DDX58	1	NS	3	33.33333333333333
DLK2	1	NS	1	100
DMXL2	1	NS	4	25
DNHD1	1	NS	3	33.33333333333333
DSP	3	NS	5	60
DYRK1A	1	NS	2	50
EIF4B	1	NS	2	50
ENOSF1	1	NS	1	100
EPHA10	1	NS	1	100
EPHA6	1	NS	2	50
ETFDH	1	NS	1	100
EVC	1	NS	3	33.33333333333333
EXT2	1	NS	2	50
FAM20A	1	NS	3	33.33333333333333
FAM71C	1	NS	2	50
FBXW9	1	NS	3	33.33333333333333
GABRP	1	NS	1	100
GBF1	1	NS	6	16.666666666666664
GBP3	1	NS	1	100
GCNT2	1	NS	1	100
GEMIN5	1	NS	1	100
GRIN2D	1	NS	2	50
HACD1	1	NS	1	100
HIVEP2	2	NS	3	66.66666666666666
HSD17B14	1	NS	3	33.33333333333333
HTR3A	1	NS	3	33.33333333333333
IGFN1	1	NS	2	50
IL32	1	NS	3	33.33333333333333
ITPK1	1	NS	1	100
JDP2	1	NS	1	100
KCNA5	1	NS	1	100
KCNJ13	1	NS	2	50
KIAA1024	1	NS	1	100
KIF26B	1	NS	2	50
LDLRAP1	1	NS	1	100
LECT1	1	NS	1	100
LMO7	1	NS	4	25
LPIN1	1	NS	3	33.33333333333333
LRRC43	1	NS	1	100
LY75	1	NS	2	50
MAP1A	1	NS	3	33.33333333333333
MBD4	1	NS	2	50
MDC1	1	NS	3	33.33333333333333
MERTK	1	NS	2	50
MORC2	1	NS	2	50
MRC2	1	NS	2	50
MTFR1	1	NS	2	50
MYH9	1	NS	3	33.33333333333333
NCOR1	1	NS	6	16.666666666666664
NCSTN	1	NS	1	100
NR2F2	1	NS	4	25
NRXN1	1	NS	3	33.33333333333333
NUP188	1	NS	2	50
NUP214	1	NS	4	25
NYAP2	1	NS	2	50
OFD1	1	NS	1	100
OGDHL	1	NS	1	100
OR2J3	1	NS	3	33.33333333333333
OR5P2	1	NS	3	33.33333333333333
OR5W2	1	NS	1	100
OTUD1	1	NS	1	100
PARP4	1	NS	5	20
PCDHA9	1	NS	3	33.33333333333333
PCDHGC4	1	NS	3	33.33333333333333
PDPR	1	NS	3	33.33333333333333
PDS5B	1	NS	1	100
PEX1	1	NS	2	50
PFN3	1	NS	1	100
PHKG1	1	NS	1	100
PLEKHA4	1	NS	1	100
PNPLA6	1	NS	5	20
PPFIA4	1	NS	2	50
PPFIBP2	1	NS	2	50
PTPN3	1	NS	2	50
PYROXD2	1	NS	3	33.33333333333333
RALGAPA1	1	NS	3	33.33333333333333
RARS	1	NS	1	100
RDH12	1	NS	2	50
RNF114	1	NS	1	100
RNF19B	1	NS	1	100
RPS6KC1	1	NS	2	50
RUFY3	1	NS	3	33.33333333333333
SALL1	1	NS	4	25
