hugo_symbol	n.x	status	n.y	perc
ABCA1	1	NS	6	16.666666666666664
ABCA13	1	NS	20	5
ACHE	1	NS	2	50
ACSM3	1	NS	2	50
ACSM5	1	NS	8	12.5
ADAMTS2	1	NS	12	8.333333333333332
ADAMTS20	1	NS	10	10
ADGRL2	1	NS	9	11.11111111111111
AHNAK2	1	NS	26	3.8461538461538463
AIF1L	1	NS	1	100
ALPK3	1	NS	2	50
ALPP	1	NS	5	20
ALX4	1	NS	3	33.33333333333333
APOB	1	NS	18	5.555555555555555
AREL1	1	NS	1	100
ASPM	1	NS	21	4.761904761904762
ATP10B	1	NS	9	11.11111111111111
ATP5B	1	NS	3	33.33333333333333
B4GALT3	1	NS	1	100
BCAN	1	NS	3	33.33333333333333
BICC1	1	NS	6	16.666666666666664
BPTF	1	NS	10	10
BTBD16	1	NS	1	100
C14orf39	1	NS	5	20
C1orf35	1	NS	2	50
C20orf195	1	NS	2	50
C4orf3	1	NS	2	50
C7	1	NS	8	12.5
CARNS1	1	NS	1	100
CC2D2B	1	NS	2	50
CCDC108	1	NS	5	20
CCDC173	1	NS	1	100
CD47	1	NS	2	50
CD6	1	NS	4	25
CEACAM18	1	NS	1	100
CELSR3	1	NS	8	12.5
CERS6	1	NS	2	50
CHST1	1	NS	7	14.285714285714285
CHST5	1	NS	1	100
CLDN1	1	NS	2	50
CLEC17A	1	NS	4	25
COL20A1	1	NS	6	16.666666666666664
COL5A2	1	NS	11	9.090909090909092
COL6A2	1	NS	4	25
CRB1	1	NS	12	8.333333333333332
CRIM1	1	NS	3	33.33333333333333
CRYBB1	1	NS	2	50
CSMD2	1	NS	18	5.555555555555555
CSMD3	1	NS	42	2.380952380952381
CSRNP3	1	NS	5	20
CTCF	1	NS	1	100
CTNNA3	1	NS	8	12.5
CUL1	1	NS	4	25
DBN1	1	NS	3	33.33333333333333
DEPDC5	1	NS	7	14.285714285714285
DIS3	1	NS	5	20
DLC1	1	NS	7	14.285714285714285
DLL4	1	NS	2	50
DMBT1	1	NS	12	8.333333333333332
DMRT3	1	NS	2	50
DNAH9	1	NS	19	5.263157894736842
DNAJC2	1	NS	1	100
DNMBP	1	NS	4	25
DOCK5	1	NS	3	33.33333333333333
DPF2	1	NS	6	16.666666666666664
DSCAM	1	NS	10	10
EDAR	1	NS	4	25
EDDM3B	1	NS	1	100
EDEM3	1	NS	2	50
EHMT1	1	NS	3	33.33333333333333
EML2	1	NS	2	50
EPN2	1	NS	4	25
EPS8L3	1	NS	1	100
FANK1	1	NS	1	100
FAT3	1	NS	24	4.166666666666666
FBXL21	1	NS	3	33.33333333333333
FBXL7	1	NS	10	10
FBXO18	1	NS	2	50
FCGBP	1	NS	11	9.090909090909092
FOXI2	1	NS	1	100
GABRA4	1	NS	6	16.666666666666664
GALM	1	NS	2	50
GBP6	1	NS	4	25
GLI1	1	NS	5	20
GLOD5	1	NS	2	50
GLRA1	1	NS	1	100
GRM7	1	NS	7	14.285714285714285
GUK1	1	NS	1	100
GZMB	1	NS	1	100
HECTD4	1	NS	3	33.33333333333333
HFM1	1	NS	7	14.285714285714285
HHAT	1	NS	3	33.33333333333333
HNRNPM	1	NS	3	33.33333333333333
HTRA4	1	NS	1	100
IFFO1	1	NS	1	100
IGDCC3	1	NS	3	33.33333333333333
IL31	1	NS	1	100
ISCU	1	NS	1	100
ITPR2	1	NS	6	16.666666666666664
JAKMIP3	1	NS	4	25
JRK	1	NS	1	100
KAZN	1	NS	1	100
