hugo_symbol	n.x	status	n.y	perc
ABAT	1	NS	1	100
AFAP1L1	1	NS	1	100
AGBL2	1	NS	2	50
AMZ1	1	NS	1	100
ANK2	1	NS	20	5
ANKAR	1	NS	3	33.33333333333333
ANKRD13D	1	NS	2	50
ANO1	1	NS	4	25
ARHGEF16	1	NS	1	100
ARMT1	1	NS	2	50
ASNSD1	1	NS	2	50
ATP6V1A	1	NS	7	14.285714285714285
ATP8B4	1	NS	3	33.33333333333333
BCAT2	1	NS	1	100
BDP1	1	NS	3	33.33333333333333
BSDC1	1	NS	2	50
BTLA	1	NS	1	100
C1orf54	1	NS	1	100
C2CD5	1	NS	2	50
CACNG7	1	NS	4	25
CALB2	1	NS	4	25
CCDC113	1	NS	2	50
CCDC125	1	NS	2	50
CCDC150	1	NS	3	33.33333333333333
CCDC185	1	NS	2	50
CCDC47	1	NS	1	100
CDCP2	1	NS	3	33.33333333333333
CDH8	1	NS	7	14.285714285714285
CEP290	1	NS	3	33.33333333333333
CGNL1	1	NS	3	33.33333333333333
CLOCK	1	NS	1	100
CMPK1	1	NS	1	100
COL6A6	1	NS	5	20
CRYGA	2	NS	1	200
CYP11B2	1	NS	3	33.33333333333333
DENND4A	1	NS	4	25
DENND6B	1	NS	2	50
DNAH7	1	NS	10	10
DNAH8	1	NS	11	9.090909090909092
DNAH9	1	NS	11	9.090909090909092
DNASE1L1	1	NS	1	100
EFHB	1	NS	2	50
EHF	1	NS	2	50
EIF3E	1	NS	3	33.33333333333333
EPHA5	1	NS	9	11.11111111111111
ESYT3	1	NS	3	33.33333333333333
ETV3L	1	NS	4	25
EXOSC5	1	NS	1	100
EXPH5	1	NS	4	25
FAM171B	1	NS	3	33.33333333333333
FAM47A	1	NS	3	33.33333333333333
FAM83B	1	NS	6	16.666666666666664
FBXO27	1	NS	1	100
FNBP1	1	NS	1	100
FREM2	1	NS	7	14.285714285714285
GGNBP2	1	NS	2	50
GLDC	1	NS	1	100
GLRX3	1	NS	1	100
GNPDA2	1	NS	1	100
GPR158	1	NS	5	20
GPX5	1	NS	1	100
GRIA4	1	NS	4	25
GRIN2A	1	NS	10	10
GRM2	1	NS	1	100
GRM6	1	NS	4	25
GUCY2F	1	NS	4	25
HCN1	1	NS	18	5.555555555555555
HLA-B	1	NS	2	50
HTT	1	NS	5	20
IBTK	1	NS	2	50
ING5	1	NS	1	100
IQCB1	1	NS	1	100
JAKMIP1	1	NS	1	100
KCND2	1	NS	5	20
KIAA1109	1	NS	11	9.090909090909092
LAMB4	1	NS	3	33.33333333333333
LAP3	1	NS	1	100
LENG9	1	NS	2	50
LMBR1L	1	NS	2	50
LRCH3	1	NS	2	50
LRP1B	1	NS	27	3.7037037037037033
LSG1	1	NS	4	25
MACROD2	1	NS	3	33.33333333333333
MAP3K12	1	NS	1	100
MCC	1	NS	2	50
MLH3	1	NS	2	50
MMP16	1	NS	8	12.5
MOAP1	1	NS	3	33.33333333333333
MOGAT1	1	NS	1	100
MRPL32	1	NS	3	33.33333333333333
MUC16	1	NS	34	2.941176470588235
MYCBP2	1	NS	8	12.5
MYCT1	1	NS	2	50
MYH8	1	NS	7	14.285714285714285
NCOR2	1	NS	2	50
NDUFAF7	1	NS	1	100
NDUFV1	1	NS	3	33.33333333333333
NEK1	1	NS	3	33.33333333333333
NET1	1	NS	1	100
NFASC	1	NS	4	25
NINL	1	NS	7	14.285714285714285
NLRP13	1	NS	8	12.5
NUCB1	1	NS	2	50
NUP155	1	NS	6	16.666666666666664
NUP43	1	NS	1	100
OR10G8	1	NS	3	33.33333333333333
OR4C46	1	NS	6	16.666666666666664
OR5AC2	1	NS	5	20
OR5M11	1	NS	1	100
OSBPL1A	1	NS	3	33.33333333333333
PAPPA2	1	NS	19	5.263157894736842
PCID2	1	NS	2	50
PDHA1	1	NS	1	100
PDZD2	2	NS	8	25
PES1	2	NS	1	200
PIK3CA	1	NS	7	14.285714285714285
PIP4K2C	1	NS	2	50
PLCE1	1	NS	2	50
PLCH1	1	NS	12	8.333333333333332
PLD1	1	NS	2	50
POU2AF1	1	NS	1	100
PRDM5	1	NS	5	20
PRKCQ	1	NS	2	50
PRPF3	1	NS	2	50
PRR5-ARHGAP8	1	NS	2	50
PSD3	1	NS	3	33.33333333333333
PSMD5	1	NS	1	100
PTGFR	1	NS	2	50
PTPN22	1	NS	4	25
PYGM	1	NS	3	33.33333333333333
QRSL1	1	NS	1	100
RBBP5	1	NS	1	100
RBMX2	1	NS	1	100
RDH8	1	NS	1	100
RELN	1	NS	9	11.11111111111111
REPS2	1	NS	2	50
RFX2	1	NS	1	100
RIMS1	1	NS	5	20
RNF125	1	NS	1	100
RP1	1	NS	8	12.5
RPP30	1	NS	2	50
SCARA5	1	NS	2	50
SCGB2A1	1	NS	1	100
SEC24C	1	NS	1	100
SEPT3	1	NS	2	50
SERPINA7	1	NS	1	100
SKOR2	1	NS	1	100
SLC25A37	1	NS	1	100
SLC39A3	1	NS	2	50
SMCHD1	1	NS	6	16.666666666666664
SMG1	1	NS	2	50
SPATA22	1	NS	2	50
SPATA8	1	NS	2	50
SSMEM1	1	NS	2	50
STIL	1	NS	2	50
SYDE2	1	NS	3	33.33333333333333
SYNDIG1L	1	NS	2	50
SYT12	1	NS	1	100
TACR3	1	NS	2	50
TAOK1	1	NS	3	33.33333333333333
TAS1R1	1	NS	4	25
TBC1D9	1	NS	2	50
TDRD1	1	NS	3	33.33333333333333
TLR4	1	NS	8	12.5
TMEM131	1	NS	4	25
TMEM200C	1	NS	2	50
TNS2	1	NS	2	50
TP53	1	NS	43	2.3255813953488373
TPCN1	1	NS	1	100
TPTE	1	NS	13	7.6923076923076925
TRAV12-1	1	NS	1	100
TRIM49	1	NS	10	10
TRIOBP	1	NS	6	16.666666666666664
TRPC5	1	NS	7	14.285714285714285
TTN	1	NS	56	1.7857142857142856
TWF2	1	NS	1	100
UBAP2L	1	NS	4	25
UBR5	1	NS	2	50
UBXN2A	1	NS	1	100
UGT3A1	1	NS	5	20
URB2	1	NS	2	50
USP8	1	NS	1	100
VPS13A	1	NS	5	20
WDR63	1	NS	1	100
WDR90	1	NS	3	33.33333333333333
YAF2	1	NS	1	100
ZEB1	1	NS	9	11.11111111111111
ZFP28	1	NS	1	100
ZKSCAN8	1	NS	2	50
ZNF229	2	NS	4	50
ZNF462	1	NS	4	25
ZNF585A	1	NS	1	100
ZNF804B	1	NS	15	6.666666666666667
ZNF90	1	NS	1	100
ZNF91	1	NS	5	20
ZNF98	1	NS	2	50
ZNF99	1	NS	5	20
ZZZ3	1	NS	2	50
ABCB11	1	NS	6	16.666666666666664
ABCC8	1	NS	3	33.33333333333333
ADAM23	1	NS	4	25
ADAMTS17	1	NS	3	33.33333333333333
AKAP13	1	NS	5	20
ALDOA	1	NS	1	100
ANO5	1	NS	4	25
AP4B1	1	NS	1	100
BCL2L14	1	NS	1	100
CACNA1G	1	NS	8	12.5
CCDC174	1	NS	1	100
CD5	1	NS	1	100
CDCA5	1	NS	1	100
CDYL2	1	NS	3	33.33333333333333
CEP192	1	NS	10	10
CEP68	1	NS	2	50
CHFR	1	NS	1	100
CHMP5	1	NS	2	50
CHRNA1	1	NS	4	25
CIT	1	NS	3	33.33333333333333
CLCA1	1	NS	1	100
CMA1	1	NS	3	33.33333333333333
CMTR2	1	NS	3	33.33333333333333
CNTN3	2	NS	5	40
COL28A1	1	NS	4	25
CPSF4	1	NS	2	50
CRTAM	1	NS	3	33.33333333333333
CRX	1	NS	1	100
CSMD1	1	NS	17	5.88235294117647
CSPG5	1	NS	2	50
CYFIP1	1	NS	2	50
CYP7A1	1	NS	5	20
DEFB1	1	NS	1	100
DEPDC1	1	NS	1	100
DGKB	1	NS	4	25
DLGAP1	1	NS	4	25
DNAH12	1	NS	1	100
DRD5	1	NS	3	33.33333333333333
DSC2	1	NS	1	100
DSC3	1	NS	2	50
ENTPD6	1	NS	2	50
EPB41L3	3	NS	7	42.857142857142854
EYS	1	NS	7	14.285714285714285
FAM13A	1	NS	2	50
FAT3	2	NS	11	18.181818181818183
FCGBP	1	NS	8	12.5
FLG	1	NS	11	9.090909090909092
FMN2	2	NS	11	18.181818181818183
FRZB	1	NS	1	100
GABBR2	1	NS	3	33.33333333333333
GABRG3	1	NS	4	25
GALNT6	1	NS	1	100
GALNTL6	1	NS	4	25
GPR63	1	NS	5	20
HGF	1	NS	7	14.285714285714285
HHLA2	1	NS	2	50
HIRA	1	NS	1	100
HIVEP1	1	NS	4	25
HTR2C	1	NS	2	50
HTR3A	1	NS	3	33.33333333333333
IGKV1D-13	2	NS	2	100
IKBKAP	1	NS	2	50
KIAA1210	1	NS	3	33.33333333333333
KIAA1429	1	NS	6	16.666666666666664
KIAA1462	1	NS	1	100
KRT2	1	NS	2	50
LAMA2	1	NS	19	5.263157894736842
LAMA3	1	NS	2	50
LCA5	1	NS	1	100
LCP1	1	NS	4	25
LECT1	1	NS	1	100
LGALS12	1	NS	1	100
LMX1A	1	NS	2	50
LRFN1	1	NS	1	100
LRIT1	1	NS	1	100
LRRC37A3	1	NS	3	33.33333333333333
LRRN2	1	NS	2	50
LYZL4	1	NS	2	50
MAGI2	1	NS	6	16.666666666666664
MGAT4C	2	NS	4	50
MROH2B	1	NS	11	9.090909090909092
MRPS14	1	NS	1	100
MUC17	1	NS	9	11.11111111111111
MYO5B	1	NS	4	25
NCOA2	1	NS	1	100
NF1	1	NS	6	16.666666666666664
NFE2L2	1	NS	9	11.11111111111111
NHP2L1	1	NS	1	100
NIPAL2	1	NS	1	100
NPL	1	NS	1	100
NSD1	1	NS	2	50
NT5E	1	NS	1	100
NTRK3	1	NS	1	100
OR4C16	1	NS	3	33.33333333333333
OR4P4	1	NS	4	25
OR4S2	1	NS	2	50
OR51T1	1	NS	2	50
OR5AS1	1	NS	2	50
OR5B21	1	NS	2	50
OR5V1	1	NS	2	50
OR6S1	1	NS	1	100
PAPD5	1	NS	2	50
PCDH10	1	NS	7	14.285714285714285
PDE10A	1	NS	7	14.285714285714285
PDE6B	1	NS	1	100
PDE6C	1	NS	1	100
PDZRN3	1	NS	7	14.285714285714285
PEX5	1	NS	3	33.33333333333333
PIK3CG	1	NS	8	12.5
PITX2	1	NS	3	33.33333333333333
PKHD1L1	1	NS	14	7.142857142857142
PLA2G2C	1	NS	1	100
PLAA	1	NS	1	100
PRICKLE4	1	NS	1	100
PRR5-ARHGAP8	1	NS	2	50
RASGRF2	1	NS	4	25
RIT2	1	NS	2	50
RPGRIP1	1	NS	2	50
RPL6	1	NS	3	33.33333333333333
RREB1	1	NS	7	14.285714285714285
RSF1	1	NS	4	25
S1PR4	1	NS	1	100
