hugo_symbol	n.x	status	n.y	perc
ABCC10	1	NS	3	33.33333333333333
ACAP3	1	NS	2	50
AFF4	1	NS	8	12.5
AKAP6	1	NS	13	7.6923076923076925
AP5Z1	1	NS	2	50
ASPHD1	1	NS	4	25
BCL11B	1	NS	3	33.33333333333333
CCDC144A	1	NS	4	25
CD1D	1	NS	5	20
DEFB116	1	NS	1	100
DNAH3	1	NS	11	9.090909090909092
ERBB4	1	NS	6	16.666666666666664
FAT4	1	NS	16	6.25
FCHO1	1	NS	4	25
FGFR3	1	NS	26	3.8461538461538463
FMNL1	1	NS	2	50
GNAS	1	NS	2	50
H3F3A	1	NS	2	50
HIF1A	1	NS	3	33.33333333333333
KBTBD4	1	NS	1	100
KPNB1	1	NS	7	14.285714285714285
KRIT1	1	NS	4	25
LLGL2	1	NS	3	33.33333333333333
LRRC4	1	NS	3	33.33333333333333
LSM14A	1	NS	3	33.33333333333333
ME3	1	NS	5	20
MLXIP	1	NS	3	33.33333333333333
MPRIP	1	NS	3	33.33333333333333
MYOZ2	1	NS	1	100
NPHP3	1	NS	4	25
PCDHA7	1	NS	7	14.285714285714285
PCDHGA7	1	NS	4	25
PLEKHG6	1	NS	4	25
PPARG	1	NS	9	11.11111111111111
PUSL1	1	NS	2	50
RBM25	1	NS	1	100
ROS1	1	NS	7	14.285714285714285
RPTOR	1	NS	4	25
RXRA	1	NS	5	20
SHC1	1	NS	1	100
SIGLEC8	1	NS	2	50
SLC22A2	1	NS	2	50
SMARCD2	1	NS	2	50
ST5	1	NS	2	50
STT3B	1	NS	2	50
SYNE1	1	NS	28	3.571428571428571
TCEB3	1	NS	1	100
TMEM165	1	NS	1	100
TMEM67	1	NS	2	50
TPPP2	1	NS	2	50
TTN	2	NS	76	2.631578947368421
TXNDC16	1	NS	6	16.666666666666664
UACA	1	NS	5	20
UGT3A2	1	NS	4	25
UPF2	1	NS	7	14.285714285714285
VIM	1	NS	5	20
VSIG4	1	NS	2	50
WDR36	1	NS	6	16.666666666666664
WDR37	1	NS	3	33.33333333333333
ZBED9	1	NS	6	16.666666666666664
ZNF227	1	NS	4	25
ZNF511	1	NS	3	33.33333333333333
ABCB6	1	NS	3	33.33333333333333
ACAD9	1	NS	3	33.33333333333333
ACSM2B	1	NS	2	50
ADAMTS13	1	NS	3	33.33333333333333
AFP	1	NS	2	50
AFTPH	1	NS	4	25
AGAP2	1	NS	3	33.33333333333333
AGT	1	NS	3	33.33333333333333
AGTPBP1	1	NS	3	33.33333333333333
AHI1	1	NS	4	25
AHNAK	1	NS	15	6.666666666666667
AKAP1	1	NS	3	33.33333333333333
AKAP9	1	NS	17	5.88235294117647
ALDH1A3	1	NS	3	33.33333333333333
AMMECR1L	1	NS	1	100
AMZ2	1	NS	2	50
ANK1	1	NS	4	25
ANO1	1	NS	6	16.666666666666664
APBB1IP	1	NS	3	33.33333333333333
ARV1	1	NS	3	33.33333333333333
ASH1L	1	NS	10	10
ATAD2	1	NS	6	16.666666666666664
ATF7	1	NS	3	33.33333333333333
ATF7IP	1	NS	5	20
ATP13A3	1	NS	6	16.666666666666664
ATP2B4	1	NS	8	12.5
ATP8B4	1	NS	4	25
AZIN2	1	NS	4	25
B3GALT2	1	NS	2	50
BAG3	1	NS	2	50
BAZ2A	1	NS	4	25
BCAT2	1	NS	2	50
BCKDK	1	NS	1	100
BIRC6	1	NS	18	5.555555555555555
C1orf110	1	NS	3	33.33333333333333
C2orf68	1	NS	2	50
CACNA1A	1	NS	9	11.11111111111111
CAMSAP1	1	NS	7	14.285714285714285
CCDC150	1	NS	1	100
CD79A	1	NS	1	100
CDH4	2	NS	6	33.33333333333333
CDHR5	4	NS	6	66.66666666666666
CEP104	1	NS	7	14.285714285714285
CHD2	1	NS	4	25
CHD6	1	NS	7	14.285714285714285
CHD7	1	NS	14	7.142857142857142
CHPT1	1	NS	4	25
CHRD	1	NS	4	25
CHRNB1	1	NS	1	100
CIDEA	1	NS	2	50
CIITA	1	NS	7	14.285714285714285
CKAP5	1	NS	7	14.285714285714285
CLCN2	1	NS	6	16.666666666666664
CNR2	1	NS	2	50
CPSF4	1	NS	2	50
CSNK1E	1	NS	2	50
CXXC1	1	NS	5	20
DBNDD1	1	NS	1	100
DDI1	1	NS	2	50
DDX17	1	NS	3	33.33333333333333
DOT1L	1	NS	7	14.285714285714285
DPY30	1	NS	1	100
EFCAB5	1	NS	7	14.285714285714285
