hugo_symbol	n.x	status	n.y	perc
ABCA13	1	NS	9	11.11111111111111
ADAM10	1	NS	2	50
ADAR	1	NS	3	33.33333333333333
AKAP11	1	NS	3	33.33333333333333
APPL2	1	NS	2	50
ATXN10	1	NS	2	50
BAZ2A	1	NS	2	50
BCHE	1	NS	3	33.33333333333333
CERS3	1	NS	1	100
CTNNAL1	1	NS	2	50
DCAF4	1	NS	3	33.33333333333333
DNAH10	1	NS	7	14.285714285714285
FRMPD1	1	NS	3	33.33333333333333
GLB1L	1	NS	2	50
GPM6A	1	NS	1	100
GTF3C4	1	NS	2	50
HAPLN3	1	NS	4	25
HIST3H2A	1	NS	1	100
IFT172	1	NS	3	33.33333333333333
JAG2	1	NS	4	25
LIN54	1	NS	1	100
LRSAM1	1	NS	3	33.33333333333333
MESP2	1	NS	1	100
NDRG3	1	NS	2	50
NELL1	1	NS	6	16.666666666666664
NLRP10	1	NS	2	50
NLRP5	1	NS	5	20
NUGGC	1	NS	3	33.33333333333333
OR10X1	1	NS	2	50
OR4C15	1	NS	5	20
PCDHA10	1	NS	4	25
PEX12	1	NS	2	50
PKHD1	1	NS	9	11.11111111111111
PPP4R1	1	NS	1	100
PRR30	1	NS	1	100
RPS3	1	NS	1	100
SI	1	NS	7	14.285714285714285
SIPA1L3	1	NS	4	25
SLC7A14	1	NS	3	33.33333333333333
TBPL1	1	NS	1	100
TNN	1	NS	4	25
VANGL2	1	NS	4	25
ZNF318	1	NS	4	25
ZNF682	1	NS	4	25
ZNF724P	1	NS	2	50
AADACL4	1	NS	3	33.33333333333333
ABCA10	1	NS	1	100
ABCA4	1	NS	5	20
ABR	1	NS	1	100
ADAM15	1	NS	2	50
ADGRF1	4	NS	4	100
ADRB1	1	NS	2	50
AGO3	1	NS	2	50
AHDC1	1	NS	6	16.666666666666664
AHNAK	1	NS	12	8.333333333333332
ALDH1L2	1	NS	1	100
ALS2	1	NS	1	100
ANKS1A	1	NS	1	100
ANO5	1	NS	6	16.666666666666664
AP5Z1	1	NS	3	33.33333333333333
APBB2	1	NS	1	100
APOB	1	NS	12	8.333333333333332
APOLD1	1	NS	2	50
ARFGEF1	1	NS	5	20
ARHGEF10L	1	NS	3	33.33333333333333
ARHGEF17	1	NS	4	25
ARPP21	1	NS	2	50
ASPHD2	1	NS	3	33.33333333333333
ATAD2B	1	NS	4	25
ATAD3B	1	NS	2	50
ATAD5	1	NS	8	12.5
ATP2B2	1	NS	5	20
ATP6AP1L	1	NS	1	100
ATXN7	1	NS	3	33.33333333333333
BAD	1	NS	1	100
BDH1	1	NS	1	100
BIN2	1	NS	1	100
BIRC3	1	NS	1	100
BPIFB3	1	NS	2	50
BRAF	1	NS	6	16.666666666666664
BRD8	1	NS	5	20
BSDC1	1	NS	1	100
BTBD10	1	NS	3	33.33333333333333
BTD	1	NS	1	100
C12orf45	1	NS	1	100
C12orf49	1	NS	1	100
C17orf75	1	NS	3	33.33333333333333
C1orf141	1	NS	1	100
C2orf44	1	NS	1	100
C2orf71	1	NS	2	50
C3orf20	1	NS	2	50
C5orf51	1	NS	2	50
C8G	1	NS	1	100
CACNB2	1	NS	2	50
CAMSAP2	1	NS	2	50
CAPS2	1	NS	2	50
CASP5	1	NS	1	100
CATIP	1	NS	3	33.33333333333333
CCDC57	1	NS	1	100
CCNB3	1	NS	6	16.666666666666664
CDKL5	1	NS	4	25
CELF6	1	NS	2	50
CEP350	1	NS	6	16.666666666666664
CES2	1	NS	3	33.33333333333333
CFAP58	1	NS	4	25
CFLAR	1	NS	2	50
CHPF	1	NS	1	100
CLEC4F	1	NS	3	33.33333333333333
CNTRL	1	NS	3	33.33333333333333
COL5A3	1	NS	5	20
COL6A6	1	NS	5	20
COL7A1	2	NS	3	66.66666666666666
COLQ	1	NS	1	100
COPB1	1	NS	2	50
COQ10A	1	NS	1	100
CPB2	1	NS	3	33.33333333333333
CRISP3	1	NS	1	100
CROCC	1	NS	6	16.666666666666664
CRTAC1	1	NS	2	50
CRTAP	1	NS	1	100
CSGALNACT1	1	NS	2	50
CSMD1	1	NS	9	11.11111111111111
CUL2	1	NS	2	50
CUL5	1	NS	2	50
CXADR	1	NS	1	100
CYP11B2	1	NS	1	100
CYP1A2	1	NS	2	50
CYP4X1	1	NS	1	100
DENND1C	1	NS	4	25
DEPDC4	1	NS	1	100
DGAT2L6	1	NS	3	33.33333333333333
DGCR8	1	NS	2	50
DHX8	1	NS	3	33.33333333333333
DIP2C	1	NS	6	16.666666666666664
DIRAS1	1	NS	1	100
DLGAP2	1	NS	1	100
DLGAP3	1	NS	3	33.33333333333333
DMC1	1	NS	1	100
DNAH8	1	NS	11	9.090909090909092
DNM3	1	NS	3	33.33333333333333
DOCK6	1	NS	3	33.33333333333333
DRC7	1	NS	3	33.33333333333333
DSCAM	1	NS	8	12.5
DUOXA1	1	NS	4	25
DYNC2H1	1	NS	3	33.33333333333333
EBF2	1	NS	2	50
EBF3	1	NS	2	50
EFNB1	1	NS	2	50
EGFL8	1	NS	2	50
EIF2AK4	1	NS	2	50
EIF3G	1	NS	3	33.33333333333333
EMD	1	NS	2	50
ENPEP	1	NS	2	50
EPHA2	2	NS	1	200
EPHA5	1	NS	10	10
EPPK1	1	NS	5	20
ESRP1	1	NS	3	33.33333333333333
ETAA1	1	NS	1	100
FAM118B	1	NS	2	50
FAM160B2	1	NS	1	100
FAT4	1	NS	11	9.090909090909092
FBXO18	1	NS	3	33.33333333333333
FDPS	1	NS	1	100
FER1L5	1	NS	2	50
FER1L6	1	NS	6	16.666666666666664
FLG	1	NS	14	7.142857142857142
FLT1	1	NS	5	20
GABBR2	1	NS	2	50
GALNT12	1	NS	1	100
GANC	1	NS	3	33.33333333333333
GCFC2	1	NS	1	100
GCNT4	1	NS	1	100
GJB6	1	NS	1	100
GPATCH11	1	NS	1	100
GPR137	1	NS	2	50
GSG1	1	NS	4	25
H1F0	1	NS	1	100
HECA	1	NS	2	50
HECTD4	1	NS	12	8.333333333333332
HELZ2	1	NS	5	20
HIST2H3D	1	NS	3	33.33333333333333
HLA-A	1	NS	4	25
HNRNPA1	1	NS	2	50
HSD11B2	1	NS	2	50
IGHMBP2	1	NS	2	50
IGSF10	1	NS	4	25
IQSEC3	1	NS	3	33.33333333333333
IRF6	1	NS	3	33.33333333333333
ITIH2	1	NS	4	25
ITPR1	2	NS	3	66.66666666666666
JPH1	1	NS	2	50
KATNAL2	1	NS	1	100
