hugo_symbol	n.x	status	n.y	perc
ABAT	1	NS	1	100
ABCC9	1	NS	3	33.33333333333333
AFAP1L1	1	NS	1	100
AMZ1	1	NS	1	100
ANK2	1	NS	18	5.555555555555555
ANKAR	1	NS	3	33.33333333333333
ANKRD13D	1	NS	1	100
ARHGEF16	1	NS	1	100
ASNSD1	1	NS	2	50
ATP6V1A	1	NS	4	25
ATP8B4	1	NS	3	33.33333333333333
BCAT2	1	NS	1	100
BDP1	1	NS	1	100
BSDC1	1	NS	2	50
BTLA	1	NS	1	100
CALB2	1	NS	4	25
CCDC113	1	NS	1	100
CCDC125	1	NS	2	50
CCDC150	1	NS	3	33.33333333333333
CCDC185	1	NS	2	50
CCDC47	1	NS	1	100
CDCP2	1	NS	3	33.33333333333333
CDH8	1	NS	4	25
CGNL1	1	NS	3	33.33333333333333
CKLF-CMTM1	1	NS	1	100
CLOCK	1	NS	1	100
CMPK1	1	NS	1	100
COL6A6	1	NS	5	20
CRYGA	2	NS	1	200
CYP11B2	1	NS	1	100
DENND6B	1	NS	1	100
DNAH7	1	NS	9	11.11111111111111
DNAH8	1	NS	10	10
DNAH9	1	NS	11	9.090909090909092
DNASE1L1	1	NS	1	100
EFHB	1	NS	2	50
EHF	1	NS	2	50
EIF3E	1	NS	2	50
EPHA5	1	NS	7	14.285714285714285
EXPH5	1	NS	4	25
FAM171B	1	NS	1	100
FAM47A	1	NS	3	33.33333333333333
FEM1C	1	NS	2	50
FREM2	1	NS	7	14.285714285714285
GGNBP2	1	NS	1	100
GLDC	1	NS	1	100
GNPDA2	1	NS	1	100
GPR158	1	NS	3	33.33333333333333
GRIA4	1	NS	4	25
GRIN2A	1	NS	10	10
GRM2	1	NS	1	100
GRM6	1	NS	3	33.33333333333333
GUCY2F	1	NS	2	50
HCN1	1	NS	14	7.142857142857142
HLA-B	1	NS	1	100
HTT	1	NS	4	25
IBTK	1	NS	2	50
ING5	1	NS	1	100
IQCB1	1	NS	1	100
JAKMIP1	1	NS	1	100
KCND2	1	NS	5	20
LAMB4	1	NS	2	50
LAP3	1	NS	1	100
LENG9	1	NS	1	100
LMBR1L	1	NS	2	50
LRCH3	1	NS	1	100
LRP1B	1	NS	20	5
LSG1	1	NS	2	50
MACROD2	1	NS	2	50
MCC	1	NS	1	100
MMP16	1	NS	5	20
MOAP1	1	NS	2	50
MOGAT1	1	NS	1	100
MRPL32	1	NS	2	50
MTFR2	1	NS	1	100
MYCBP2	1	NS	6	16.666666666666664
MYCT1	1	NS	2	50
MYH8	1	NS	8	12.5
NCOR2	1	NS	2	50
NDUFAF7	1	NS	1	100
NDUFV1	1	NS	2	50
NEK1	1	NS	2	50
NET1	1	NS	1	100
NFASC	1	NS	3	33.33333333333333
NINL	1	NS	3	33.33333333333333
NLRP13	1	NS	8	12.5
NUCB1	1	NS	2	50
NUP43	1	NS	1	100
OR10G8	1	NS	3	33.33333333333333
OR5AC2	1	NS	3	33.33333333333333
OR5M11	1	NS	2	50
PAPPA2	1	NS	12	8.333333333333332
PCID2	1	NS	2	50
PDHA1	1	NS	1	100
PDZD2	2	NS	4	50
PES1	2	NS	1	200
PLCE1	1	NS	2	50
PLCH1	1	NS	7	14.285714285714285
POTEH	1	NS	4	25
PRDM5	1	NS	5	20
PRKCQ	1	NS	1	100
PRR5-ARHGAP8	1	NS	2	50
PSD3	1	NS	2	50
PSMD5	1	NS	2	50
PTPN22	1	NS	4	25
PYGM	1	NS	3	33.33333333333333
QRSL1	1	NS	1	100
RBBP5	1	NS	1	100
RDH8	1	NS	1	100
RELN	1	NS	6	16.666666666666664
REPS2	1	NS	2	50
RIMS1	1	NS	5	20
RNF125	1	NS	1	100
RP1	1	NS	5	20
RPP30	1	NS	2	50
SCGB2A1	1	NS	1	100
SERPINA7	1	NS	1	100
SKOR2	1	NS	1	100
SLC25A37	1	NS	1	100
SLC39A3	1	NS	2	50
SMCHD1	1	NS	3	33.33333333333333
SMG1	1	NS	1	100
SPATA22	1	NS	2	50
SPATA8	1	NS	1	100
SSMEM1	1	NS	2	50
STIL	1	NS	2	50
SYDE2	1	NS	2	50
SYT12	1	NS	1	100
TACR3	1	NS	2	50
TAS1R1	1	NS	2	50
TNS2	1	NS	2	50
TP53	1	NS	37	2.7027027027027026
TPCN1	1	NS	1	100
TRIOBP	1	NS	3	33.33333333333333
TRPC4AP	2	NS	4	50
TRPC5	1	NS	5	20
TWF2	1	NS	1	100
UBAP2L	1	NS	2	50
UBR5	1	NS	2	50
UGT3A1	1	NS	4	25
URB2	1	NS	2	50
VPS13A	1	NS	4	25
WDR90	1	NS	3	33.33333333333333
YAF2	1	NS	1	100
ZEB1	1	NS	6	16.666666666666664
ZFP28	1	NS	1	100
ZKSCAN8	1	NS	2	50
ZNF229	1	NS	4	25
ZNF585A	1	NS	1	100
ZNF804B	1	NS	9	11.11111111111111
ZNF90	1	NS	1	100
ZNF98	1	NS	1	100
ABCB11	1	NS	5	20
ADAM23	1	NS	3	33.33333333333333
ADAMTS17	1	NS	2	50
AKAP13	1	NS	4	25
ANO5	1	NS	4	25
AP4B1	1	NS	1	100
CACNA1G	1	NS	7	14.285714285714285
CD5	1	NS	1	100
CDYL2	1	NS	2	50
CHRNA1	1	NS	2	50
CIT	1	NS	3	33.33333333333333
CLCA1	1	NS	1	100
CMA1	1	NS	3	33.33333333333333
CMTR2	1	NS	1	100
COG2	1	NS	1	100
CRX	1	NS	1	100
CSMD1	1	NS	10	10
CSPG5	1	NS	2	50
CYP7A1	1	NS	3	33.33333333333333
DEFB1	1	NS	1	100
DEPDC1	1	NS	1	100
DSC2	1	NS	1	100
EIF4G2	1	NS	1	100
ENTPD6	1	NS	2	50
FAM13A	1	NS	2	50
FAT3	1	NS	9	11.11111111111111
FCRL1	1	NS	3	33.33333333333333
FMN2	2	NS	11	18.181818181818183
FRZB	1	NS	1	100
GABBR2	1	NS	3	33.33333333333333
GPR63	1	NS	4	25
HGF	1	NS	4	25
HHLA2	1	NS	1	100
HIVEP1	1	NS	3	33.33333333333333
HTR2C	1	NS	2	50
HTR3A	1	NS	2	50
IGHG2	1	NS	2	50
IKBKAP	1	NS	2	50
KIAA1210	1	NS	2	50
KIAA1462	1	NS	1	100
KIF27	1	NS	1	100
KRT2	1	NS	2	50
LCA5	1	NS	1	100
LCP1	1	NS	5	20
LGALS12	1	NS	1	100
LRFN1	1	NS	1	100
LRRN2	1	NS	2	50
LYZL4	1	NS	1	100
MUC17	1	NS	9	11.11111111111111
MYO5B	1	NS	3	33.33333333333333
NFE2L2	1	NS	7	14.285714285714285
NIPAL2	1	NS	1	100
NPL	1	NS	1	100
NSD1	1	NS	2	50
NTRK3	1	NS	1	100
OR2L8	1	NS	2	50
OR4P4	1	NS	4	25
OR4S2	1	NS	1	100
OR5B21	1	NS	2	50
OR5V1	1	NS	2	50
PAPLN	1	NS	3	33.33333333333333
PCDH10	1	NS	7	14.285714285714285
PCDHB3	1	NS	3	33.33333333333333
PDE6B	1	NS	1	100
PDZRN3	1	NS	6	16.666666666666664
PIK3CG	1	NS	4	25
PITX2	1	NS	2	50
PKHD1L1	1	NS	14	7.142857142857142
PLAA	1	NS	1	100
PRG4	1	NS	3	33.33333333333333
PRR5-ARHGAP8	1	NS	2	50
PRSS12	1	NS	2	50
PXDN	2	NS	5	40
RASGRF2	1	NS	2	50
RIT2	1	NS	3	33.33333333333333
RPGRIP1	1	NS	2	50
RPL6	1	NS	2	50
RREB1	1	NS	4	25
SLC17A6	1	NS	4	25
SLC6A15	1	NS	2	50
SLC6A2	1	NS	2	50
SMAD1	1	NS	2	50
SMARCA5	1	NS	3	33.33333333333333
SPPL2B	1	NS	2	50
SV2B	1	NS	2	50
TAF6	1	NS	3	33.33333333333333
TNKS	1	NS	2	50
TRIM51	1	NS	5	20
TRPA1	1	NS	4	25
TTC27	1	NS	1	100
UNC79	1	NS	6	16.666666666666664
USP42	1	NS	1	100
VCAN	1	NS	8	12.5
VGLL1	1	NS	1	100
XIRP2	1	NS	16	6.25
ZBED9	2	NS	6	33.33333333333333
ZC3H6	1	NS	1	100
ZNF512	1	NS	2	50
ZNF585B	1	NS	3	33.33333333333333
ZNF735	1	NS	2	50
AADAT	1	NS	1	100
ACACB	1	NS	3	33.33333333333333
AGBL5	1	NS	2	50
AKAP8	1	NS	2	50
ALPL	1	NS	1	100
AMELX	1	NS	1	100
ANKRD11	1	NS	3	33.33333333333333
ANKRD26	2	NS	3	66.66666666666666
ANKRD34A	1	NS	3	33.33333333333333
ANO3	1	NS	4	25
ARFGAP2	1	NS	1	100
B4GALNT3	1	NS	2	50
C1orf112	1	NS	1	100
C1QBP	1	NS	1	100
C5orf45	1	NS	1	100
C9orf173	1	NS	2	50
CCDC125	1	NS	2	50
CCDC93	1	NS	2	50
CD2BP2	1	NS	1	100
CD6	1	NS	2	50
CDK15	1	NS	2	50
CFAP44	1	NS	3	33.33333333333333
CHAD	1	NS	1	100
CHODL	1	NS	1	100
CMIP	1	NS	1	100
COL11A2	1	NS	3	33.33333333333333
COX6C	1	NS	1	100
CPNE2	1	NS	1	100
CRNKL1	1	NS	1	100
CSE1L	1	NS	1	100
CSMD2	1	NS	12	8.333333333333332
CT55	1	NS	1	100
CTNNAL1	1	NS	2	50
CYC1	2	NS	3	66.66666666666666
CYP4V2	1	NS	3	33.33333333333333
DNAH2	1	NS	7	14.285714285714285
DNAH5	1	NS	14	7.142857142857142
DSCR4	1	NS	1	100
DTX4	1	NS	3	33.33333333333333
DZIP3	1	NS	7	14.285714285714285
EFHB	1	NS	2	50
EHBP1	2	NS	2	100
ESRRA	1	NS	1	100
EXTL1	1	NS	1	100
F10	1	NS	1	100
FBXW7	1	NS	2	50
FER	1	NS	1	100
FKBPL	1	NS	1	100
FMO3	2	NS	1	200
FOPNL	1	NS	1	100
FSD1	1	NS	2	50
GCN1L1	1	NS	3	33.33333333333333
GLI1	1	NS	2	50
GPR161	1	NS	2	50
HEATR3	1	NS	1	100
HFM1	1	NS	2	50
HIST1H3F	1	NS	2	50
HPSE2	1	NS	1	100
HR	1	NS	1	100
HSD17B11	1	NS	1	100
HSF4	1	NS	2	50
HTR6	1	NS	3	33.33333333333333
HYDIN	1	NS	4	25
IGHD	1	NS	3	33.33333333333333
IRX5	1	NS	2	50
ITIH3	1	NS	1	100
KEAP1	2	NS	7	28.57142857142857
KIAA0355	1	NS	1	100
KIAA0556	1	NS	2	50
KIAA2018	1	NS	5	20
KPNA4	1	NS	2	50
LIG4	1	NS	3	33.33333333333333
LMOD1	1	NS	2	50
LOXL2	1	NS	1	100
LPAR2	1	NS	1	100
LRIG2	1	NS	1	100
LRP1	1	NS	2	50
LRRC16B	1	NS	3	33.33333333333333
LRRK2	1	NS	7	14.285714285714285
MAGT1	1	NS	1	100
MANEA	1	NS	5	20
MAP7D2	1	NS	1	100
MAPK4	1	NS	2	50
MBIP	1	NS	3	33.33333333333333
MCM7	1	NS	1	100
MED13L	1	NS	2	50
MGA	1	NS	4	25
MIB1	1	NS	2	50
MIOS	1	NS	4	25
MMP14	1	NS	1	100
MN1	1	NS	2	50
MTMR3	1	NS	3	33.33333333333333
MTX3	1	NS	1	100
MUC16	1	NS	23	4.3478260869565215
MYH6	1	NS	4	25
NCOA1	1	NS	2	50
NT5C2	1	NS	1	100
NUDT14	1	NS	1	100
OR2AK2	1	NS	2	50
OR2B3	1	NS	3	33.33333333333333
OSGIN2	1	NS	2	50
P4HTM	1	NS	1	100
PARP9	1	NS	2	50
PCDH10	1	NS	7	14.285714285714285
PCDHGB2	1	NS	1	100
PCF11	1	NS	1	100
PEAK1	1	NS	2	50
PIK3CA	1	NS	5	20
PLEC	1	NS	8	12.5
PLEKHA5	1	NS	1	100
PNPLA6	1	NS	1	100
PPIL1	1	NS	1	100
PRG3	1	NS	1	100
PROX1	1	NS	3	33.33333333333333
PTPRU	2	NS	2	100
QSOX2	1	NS	3	33.33333333333333
RABEP2	1	NS	3	33.33333333333333
RCBTB1	1	NS	2	50
RGS22	1	NS	2	50
RILP	1	NS	1	100
RPS6KC1	1	NS	4	25
RYR3	1	NS	17	5.88235294117647
SBF1	1	NS	1	100
SERPINB1	1	NS	1	100
SH2D3A	1	NS	2	50
SLC22A4	1	NS	2	50
SLC27A3	1	NS	2	50
SLC5A11	1	NS	4	25
SMARCAD1	1	NS	3	33.33333333333333
SNAPC4	1	NS	2	50
SOGA3	1	NS	2	50
SPTBN4	1	NS	3	33.33333333333333
STK17B	1	NS	1	100
STK36	1	NS	2	50
SYN3	1	NS	2	50
TANC1	1	NS	3	33.33333333333333
TARBP1	1	NS	3	33.33333333333333
TBX15	1	NS	2	50
TLN2	1	NS	4	25
TMEM132B	1	NS	6	16.666666666666664
TMEM174	1	NS	1	100
TMEM246	1	NS	1	100
TMEM43	1	NS	1	100
TONSL	1	NS	1	100
TRPC1	1	NS	2	50
TRPV3	1	NS	2	50
TSEN2	1	NS	1	100
TSPAN33	1	NS	1	100
TSSK6	2	NS	1	200
TUBA1C	1	NS	2	50
TUBD1	1	NS	1	100
UBR4	1	NS	3	33.33333333333333
UNC5D	1	NS	8	12.5
USP2	1	NS	1	100
USP54	1	NS	2	50
WARS2	1	NS	1	100
WDR18	1	NS	1	100
XXYLT1	1	NS	2	50
ZBTB20	1	NS	3	33.33333333333333
ZCCHC11	1	NS	2	50
ZNF26	1	NS	3	33.33333333333333
