hugo_symbol	n.x	status	n.y	perc
ABCA13	1	NS	11	9.090909090909092
ABHD17B	1	NS	2	50
ACTR6	1	NS	1	100
ADAM10	1	NS	2	50
ADAR	1	NS	4	25
AKAP11	1	NS	3	33.33333333333333
APPL2	1	NS	2	50
ARPP21	1	NS	3	33.33333333333333
ARSJ	1	NS	2	50
ASB6	1	NS	2	50
ATXN10	1	NS	3	33.33333333333333
BARD1	1	NS	5	20
BAZ2A	1	NS	4	25
BAZ2B	1	NS	7	14.285714285714285
BCHE	1	NS	3	33.33333333333333
CEP250	1	NS	3	33.33333333333333
CEP76	1	NS	3	33.33333333333333
CERS3	1	NS	2	50
COL14A1	1	NS	7	14.285714285714285
COL24A1	1	NS	8	12.5
COL8A1	1	NS	2	50
CPSF1	1	NS	2	50
CTNNAL1	1	NS	3	33.33333333333333
DCAF4	1	NS	5	20
DHX36	1	NS	4	25
DNAH10	1	NS	9	11.11111111111111
DPRX	1	NS	2	50
DPYSL5	1	NS	2	50
EDDM3A	1	NS	1	100
EVPL	1	NS	6	16.666666666666664
FAT1	1	NS	30	3.3333333333333335
FRMPD1	1	NS	3	33.33333333333333
GABRA1	1	NS	4	25
GALNT9	1	NS	1	100
GGCX	1	NS	4	25
GLB1L	1	NS	2	50
GNPAT	1	NS	1	100
GPM6A	1	NS	3	33.33333333333333
GTF3C3	1	NS	4	25
GTF3C4	1	NS	2	50
HAPLN3	1	NS	4	25
HIPK1	1	NS	5	20
HIST3H2A	1	NS	1	100
IFT172	1	NS	5	20
IGKV1D-42	1	NS	1	100
KAT5	1	NS	4	25
KDM1A	1	NS	1	100
KLF1	1	NS	3	33.33333333333333
KRTAP1-3	1	NS	2	50
LIN54	1	NS	2	50
LRP1B	1	NS	28	3.571428571428571
LRSAM1	1	NS	3	33.33333333333333
LY6D	1	NS	2	50
MED10	1	NS	1	100
MESP2	1	NS	3	33.33333333333333
MPP2	1	NS	4	25
MRPL4	2	NS	1	200
MYO9A	1	NS	9	11.11111111111111
NDRG3	1	NS	2	50
NELL1	1	NS	8	12.5
NLRP10	1	NS	2	50
NLRP5	1	NS	5	20
NOP58	1	NS	1	100
NPHP3	1	NS	5	20
NUFIP2	1	NS	5	20
NUGGC	1	NS	3	33.33333333333333
OR10X1	1	NS	2	50
OR2M4	1	NS	3	33.33333333333333
OR4C15	1	NS	5	20
P2RY1	1	NS	2	50
PCDHA10	1	NS	7	14.285714285714285
PCDHA13	1	NS	12	8.333333333333332
PDE3A	1	NS	9	11.11111111111111
PEX12	1	NS	2	50
PFKFB3	1	NS	3	33.33333333333333
PIP4K2A	1	NS	1	100
PKHD1	1	NS	13	7.6923076923076925
PLEKHG4	1	NS	3	33.33333333333333
PPP2R5D	1	NS	3	33.33333333333333
PPP4R1	1	NS	1	100
PRC1	1	NS	4	25
PRMT2	1	NS	2	50
PRR30	1	NS	1	100
PRTG	1	NS	4	25
PTCHD2	1	NS	5	20
RANBP10	1	NS	3	33.33333333333333
RARG	1	NS	5	20
RGS7BP	1	NS	1	100
RIOK3	1	NS	2	50
RIPK4	1	NS	8	12.5
RNF111	1	NS	3	33.33333333333333
RPS3	1	NS	1	100
RRAS2	1	NS	1	100
SHC4	1	NS	3	33.33333333333333
SI	1	NS	12	8.333333333333332
SIPA1L3	1	NS	5	20
SLAMF7	1	NS	1	100
SLC7A14	1	NS	6	16.666666666666664
SLC8B1	1	NS	2	50
SMG1	1	NS	8	12.5
SPRY3	1	NS	1	100
SRPR	1	NS	2	50
SSFA2	1	NS	4	25
STK4	1	NS	2	50
TBPL1	1	NS	1	100
TMEM2	1	NS	7	14.285714285714285
TMEM87A	1	NS	2	50
TNN	1	NS	7	14.285714285714285
TNR	1	NS	10	10
TP53	1	NS	123	0.8130081300813009
TRAPPC9	1	NS	5	20
TRIM42	1	NS	3	33.33333333333333
TSLP	1	NS	1	100
USP5	1	NS	4	25
UTRN	1	NS	11	9.090909090909092
VANGL2	1	NS	4	25
VCL	1	NS	2	50
WAPAL	1	NS	3	33.33333333333333
WEE1	1	NS	1	100
WTAP	1	NS	3	33.33333333333333
WWOX	1	NS	2	50
ZDHHC20	1	NS	1	100
ZFR	1	NS	3	33.33333333333333
ZMAT2	1	NS	2	50
ZNF318	1	NS	5	20
ZNF425	1	NS	6	16.666666666666664
ZNF658	1	NS	4	25
ZNF682	1	NS	4	25
ZNF724P	1	NS	2	50
AADACL4	1	NS	3	33.33333333333333
ABCA10	1	NS	1	100
ABCA4	1	NS	5	20
ABCB4	1	NS	4	25
ABCC4	1	NS	1	100
ABR	1	NS	1	100
ACSM2A	1	NS	4	25
ADA	1	NS	1	100
ADAM15	1	NS	2	50
ADAMTS8	1	NS	1	100
ADGRF1	6	NS	4	150
ADGRF5	1	NS	5	20
ADRB1	1	NS	2	50
AGO3	1	NS	3	33.33333333333333
AGRP	1	NS	1	100
AHDC1	1	NS	8	12.5
AHNAK	1	NS	15	6.666666666666667
ALDH1L2	1	NS	2	50
ALS2	1	NS	3	33.33333333333333
ANKS1A	1	NS	1	100
ANO5	1	NS	6	16.666666666666664
AP5Z1	1	NS	2	50
APBB2	1	NS	1	100
APOB	1	NS	14	7.142857142857142
APOLD1	1	NS	3	33.33333333333333
ARFGEF1	1	NS	7	14.285714285714285
ARHGEF10L	1	NS	4	25
ARHGEF17	1	NS	6	16.666666666666664
ARPP21	1	NS	3	33.33333333333333
ASPHD2	1	NS	3	33.33333333333333
ATAD2B	1	NS	4	25
ATAD3B	1	NS	1	100
ATAD5	1	NS	9	11.11111111111111
ATP2B2	1	NS	5	20
ATP6AP1L	1	NS	1	100
ATXN7	1	NS	3	33.33333333333333
BAD	1	NS	1	100
BDH1	1	NS	1	100
BIN2	1	NS	1	100
BIRC3	1	NS	1	100
BNC1	1	NS	2	50
BPIFB3	1	NS	2	50
BRAF	1	NS	6	16.666666666666664
BRD2	1	NS	1	100
BRD8	1	NS	5	20
BSDC1	1	NS	1	100
BTBD10	1	NS	3	33.33333333333333
BTD	1	NS	1	100
C12orf45	1	NS	1	100
C12orf49	1	NS	1	100
C17orf75	2	NS	3	66.66666666666666
C1orf141	1	NS	1	100
C22orf23	1	NS	1	100
C2orf44	1	NS	1	100
C2orf71	1	NS	3	33.33333333333333
C3orf20	1	NS	3	33.33333333333333
C3orf58	1	NS	1	100
C5orf51	1	NS	2	50
C8G	1	NS	1	100
CACNB2	1	NS	2	50
CADPS2	1	NS	4	25
CAMSAP2	1	NS	4	25
CAPS2	1	NS	2	50
CASP5	1	NS	1	100
CATIP	1	NS	3	33.33333333333333
CATSPERG	1	NS	3	33.33333333333333
CCDC57	1	NS	1	100
CCNB3	1	NS	7	14.285714285714285
CD300A	1	NS	1	100
CDKL4	1	NS	1	100
CDKL5	1	NS	5	20
CELF6	1	NS	2	50
CEP350	1	NS	6	16.666666666666664
CES2	1	NS	4	25
CFAP58	1	NS	4	25
CFLAR	1	NS	2	50
CHPF	1	NS	1	100
CHRNA7	1	NS	1	100
CLEC4F	1	NS	4	25
CNTRL	1	NS	3	33.33333333333333
COL14A1	1	NS	7	14.285714285714285
COL15A1	1	NS	4	25
COL25A1	1	NS	4	25
COL5A3	1	NS	6	16.666666666666664
COL6A6	1	NS	10	10
COL7A1	2	NS	3	66.66666666666666
COLQ	1	NS	1	100
COPB1	1	NS	2	50
COQ10A	1	NS	1	100
CPB2	1	NS	4	25
CRISP3	1	NS	2	50
CROCC	1	NS	7	14.285714285714285
CRTAC1	1	NS	3	33.33333333333333
CRTAP	1	NS	1	100
CSGALNACT1	1	NS	3	33.33333333333333
CSMD1	1	NS	13	7.6923076923076925
CTSD	1	NS	4	25
CUL2	1	NS	2	50
CUL5	1	NS	3	33.33333333333333
CXADR	1	NS	1	100
CYP11B2	1	NS	3	33.33333333333333
CYP1A2	1	NS	3	33.33333333333333
CYP4X1	1	NS	2	50
DDX20	1	NS	2	50
DENND1C	1	NS	5	20
DEPDC4	1	NS	1	100
DGAT2L6	1	NS	3	33.33333333333333
DGCR8	1	NS	2	50
DHX8	1	NS	4	25
DIP2C	1	NS	5	20
DIRAS1	1	NS	1	100
DLGAP3	1	NS	3	33.33333333333333
DMC1	1	NS	1	100
DNAH11	1	NS	15	6.666666666666667
DNAH8	1	NS	15	6.666666666666667
DNM3	1	NS	4	25
DOCK1	1	NS	3	33.33333333333333
DOCK6	1	NS	4	25
DRC7	1	NS	5	20
DSCAM	1	NS	11	9.090909090909092
DUOXA1	1	NS	4	25
EBF2	1	NS	2	50
EBF3	1	NS	3	33.33333333333333
EFEMP2	1	NS	3	33.33333333333333
EFNB1	1	NS	3	33.33333333333333
EGFL8	1	NS	2	50
EHD2	1	NS	2	50
EIF2AK4	1	NS	2	50
EIF3G	1	NS	3	33.33333333333333
EMD	1	NS	2	50
ENPEP	1	NS	4	25
EPHA2	2	NS	8	25
EPHA5	1	NS	11	9.090909090909092
EPPK1	1	NS	7	14.285714285714285
ESRP1	1	NS	2	50
ESRRA	1	NS	3	33.33333333333333
ETAA1	1	NS	1	100
FAM118B	1	NS	3	33.33333333333333
FAM129A	1	NS	2	50
FAM160B2	1	NS	1	100
FAN1	1	NS	2	50
FASN	1	NS	2	50
FAT4	1	NS	18	5.555555555555555
FBXO11	1	NS	3	33.33333333333333
FBXO18	1	NS	4	25
FCGBP	1	NS	13	7.6923076923076925
FDPS	1	NS	1	100
FER1L5	1	NS	3	33.33333333333333
FER1L6	1	NS	8	12.5
FERMT3	1	NS	4	25
FLG	1	NS	18	5.555555555555555
FLT1	1	NS	5	20
FOXP2	1	NS	1	100
FREM2	1	NS	11	9.090909090909092
GABBR2	1	NS	2	50
GALNT12	1	NS	1	100
GALR2	2	NS	3	66.66666666666666
GANC	1	NS	3	33.33333333333333
GCFC2	1	NS	2	50
GCNT4	1	NS	1	100
GJB6	1	NS	1	100
GPATCH11	1	NS	1	100
GPR137	1	NS	3	33.33333333333333
GSG1	1	NS	3	33.33333333333333
GSK3A	1	NS	2	50
H1F0	1	NS	1	100
HECA	1	NS	2	50
HECTD4	1	NS	14	7.142857142857142
