hugo_symbol	n.x	status	n.y	perc
ABCA1	1	NS	7	14.285714285714285
ABCA13	1	NS	14	7.142857142857142
ACHE	1	NS	2	50
ACSM3	1	NS	2	50
ACSM5	1	NS	8	12.5
ADAMTS18	1	NS	6	16.666666666666664
ADAMTS2	1	NS	12	8.333333333333332
ADAMTS20	1	NS	10	10
ADGRL2	1	NS	6	16.666666666666664
AHNAK2	1	NS	22	4.545454545454546
AKR1B15	1	NS	5	20
ALPK3	1	NS	2	50
ALPP	1	NS	2	50
ALX4	1	NS	2	50
APOB	1	NS	18	5.555555555555555
AREL1	1	NS	1	100
ASPM	1	NS	17	5.88235294117647
ATP10B	1	NS	9	11.11111111111111
ATP5B	1	NS	2	50
B4GALT3	1	NS	1	100
BCAN	1	NS	3	33.33333333333333
BICC1	1	NS	6	16.666666666666664
BPTF	1	NS	8	12.5
BTBD16	1	NS	1	100
C14orf39	1	NS	4	25
C1orf35	1	NS	2	50
C20orf195	1	NS	2	50
C4orf3	1	NS	2	50
C7	1	NS	6	16.666666666666664
CARNS1	1	NS	1	100
CC2D2B	1	NS	2	50
CCDC108	1	NS	5	20
CCDC173	1	NS	1	100
CD47	1	NS	1	100
CD6	1	NS	3	33.33333333333333
CDK1	1	NS	3	33.33333333333333
CEACAM18	1	NS	1	100
CELSR3	1	NS	7	14.285714285714285
CERS6	1	NS	2	50
CHST5	1	NS	1	100
CLDN1	1	NS	2	50
CLEC17A	1	NS	5	20
COL20A1	1	NS	5	20
COL5A2	1	NS	8	12.5
COL6A2	1	NS	3	33.33333333333333
CPVL	1	NS	2	50
CRB1	1	NS	12	8.333333333333332
CRIM1	1	NS	2	50
CRYBB1	1	NS	2	50
CSMD2	1	NS	16	6.25
CSMD3	1	NS	38	2.631578947368421
CSRNP3	1	NS	5	20
CTNNA3	1	NS	8	12.5
CUL1	1	NS	4	25
DBN1	1	NS	3	33.33333333333333
DEPDC5	1	NS	3	33.33333333333333
DIS3	1	NS	4	25
DLC1	1	NS	6	16.666666666666664
DLL4	1	NS	2	50
DMBT1	1	NS	11	9.090909090909092
DMRT3	1	NS	2	50
DNAH9	1	NS	18	5.555555555555555
DNMBP	1	NS	4	25
DOCK5	1	NS	2	50
DSCAM	1	NS	8	12.5
EDAR	1	NS	4	25
EDC4	1	NS	4	25
EDDM3B	1	NS	1	100
EDEM3	1	NS	1	100
EHMT1	1	NS	4	25
EML2	1	NS	1	100
EPN2	1	NS	4	25
EPS8L3	1	NS	2	50
FANK1	1	NS	1	100
FAT3	1	NS	20	5
FBXL21	1	NS	2	50
FBXL7	1	NS	9	11.11111111111111
FBXO18	1	NS	3	33.33333333333333
FCGBP	1	NS	10	10
FOXI2	1	NS	1	100
GABRA4	1	NS	5	20
GALM	1	NS	2	50
GBP6	1	NS	4	25
GJB4	1	NS	1	100
GLI1	1	NS	4	25
GLOD5	1	NS	2	50
GLRA1	1	NS	1	100
GRM7	1	NS	6	16.666666666666664
GUK1	1	NS	1	100
GZMB	1	NS	1	100
HECTD4	1	NS	3	33.33333333333333
HFM1	1	NS	6	16.666666666666664
HHAT	1	NS	3	33.33333333333333
HNRNPM	1	NS	2	50
HTRA4	1	NS	1	100
IFFO1	1	NS	1	100
IGDCC3	1	NS	3	33.33333333333333
IL31	1	NS	1	100
ISCU	1	NS	1	100
ITPR2	1	NS	6	16.666666666666664
JAKMIP3	1	NS	2	50
JRK	1	NS	1	100
KAZN	1	NS	1	100
KEAP1	1	NS	17	5.88235294117647
KIAA0196	1	NS	2	50
KIAA0408	1	NS	2	50
KIF2B	1	NS	13	7.6923076923076925
KRAS	1	NS	30	3.3333333333333335
LCT	1	NS	11	9.090909090909092
LGR5	1	NS	7	14.285714285714285
LOXL3	1	NS	3	33.33333333333333
LPA	1	NS	6	16.666666666666664
LRFN5	1	NS	12	8.333333333333332
LRP1B	2	NS	33	6.0606060606060606
LRP2	1	NS	16	6.25
LY96	1	NS	1	100
MACF1	1	NS	8	12.5
MAGEB1	1	NS	4	25
MAGEB3	1	NS	3	33.33333333333333
MARCH1	1	NS	5	20
MBNL3	1	NS	2	50
MEAF6	1	NS	2	50
MED13L	1	NS	3	33.33333333333333
MLXIP	1	NS	1	100
MME	1	NS	5	20
MPP2	1	NS	2	50
MSANTD3	1	NS	4	25
MSL1	1	NS	1	100
MUC16	1	NS	45	2.2222222222222223
MXRA5	1	NS	11	9.090909090909092
MYH7	1	NS	11	9.090909090909092
MYO1B	1	NS	4	25
NBAS	1	NS	7	14.285714285714285
NBPF12	2	NS	3	66.66666666666666
NCOA3	1	NS	3	33.33333333333333
NCOA6	1	NS	4	25
NEU4	1	NS	1	100
NLRP5	1	NS	10	10
NMUR2	1	NS	6	16.666666666666664
NPAP1	1	NS	19	5.263157894736842
NRAP	1	NS	5	20
NRK	1	NS	5	20
NUF2	1	NS	4	25
NXPE1	1	NS	5	20
NYNRIN	1	NS	5	20
OR10AD1	1	NS	2	50
OR10K2	1	NS	3	33.33333333333333
OR11H6	1	NS	4	25
OR11L1	1	NS	4	25
OR12D2	1	NS	3	33.33333333333333
OR2AG2	1	NS	1	100
OR2T4	1	NS	11	9.090909090909092
OR52E4	1	NS	4	25
OR56A1	1	NS	3	33.33333333333333
OR5AN1	1	NS	4	25
OR5M9	1	NS	3	33.33333333333333
OR6T1	1	NS	4	25
OR7E24	1	NS	7	14.285714285714285
OSBPL10	1	NS	1	100
OSMR	1	NS	4	25
OTOGL	1	NS	6	16.666666666666664
PBXIP1	1	NS	1	100
PCDH15	1	NS	22	4.545454545454546
PDCD11	1	NS	6	16.666666666666664
PDE10A	1	NS	6	16.666666666666664
PDILT	1	NS	6	16.666666666666664
PDP2	1	NS	3	33.33333333333333
PIM3	1	NS	1	100
PLCG1	1	NS	2	50
PLEKHG4B	1	NS	3	33.33333333333333
PLVAP	1	NS	2	50
PODN	1	NS	4	25
POLE	1	NS	6	16.666666666666664
POU2F2	1	NS	3	33.33333333333333
PPARGC1B	1	NS	4	25
PPFIA2	1	NS	6	16.666666666666664
PRDM10	1	NS	2	50
PRKCA	1	NS	3	33.33333333333333
PRMT8	1	NS	5	20
PTPRB	2	NS	15	13.333333333333334
RBM10	1	NS	5	20
RGS10	1	NS	2	50
RNASE12	1	NS	1	100
RNF130	1	NS	2	50
RP11-407N17.3	2	NS	8	25
RUNX1T1	1	NS	4	25
S100PBP	1	NS	3	33.33333333333333
SCN9A	1	NS	5	20
SDK1	1	NS	9	11.11111111111111
SEPT1	1	NS	2	50
SETBP1	1	NS	12	8.333333333333332
SETD3	1	NS	2	50
