Values	total	status	pValue
Min.	86	smoker	0.3607035491542155
1st Qu.	107	smoker	0.3607035491542155
Median	168	smoker	0.3607035491542155
Mean	480.076923076923	smoker	0.3607035491542155
3rd Qu.	276	smoker	0.3607035491542155
Max.	3854	smoker	0.3607035491542155
Min.	69	non-smoker	0.3607035491542155
1st Qu.	82	non-smoker	0.3607035491542155
Median	186	non-smoker	0.3607035491542155
Mean	186.727272727273	non-smoker	0.3607035491542155
3rd Qu.	284	non-smoker	0.3607035491542155
Max.	358	non-smoker	0.3607035491542155
