Values	total	status	pValue
Min.	19	smoker	0.011750163747568413
1st Qu.	61	smoker	0.011750163747568413
Median	81	smoker	0.011750163747568413
Mean	74.8181818181818	smoker	0.011750163747568413
3rd Qu.	97	smoker	0.011750163747568413
Max.	106	smoker	0.011750163747568413
Min.	62	non-smoker	0.011750163747568413
1st Qu.	120.75	non-smoker	0.011750163747568413
Median	141	non-smoker	0.011750163747568413
Mean	472.75	non-smoker	0.011750163747568413
3rd Qu.	157.75	non-smoker	0.011750163747568413
Max.	2878	non-smoker	0.011750163747568413
