Values	total	status	pValue
Min.	18	smoker	0.14106294157438612
1st Qu.	81.5	smoker	0.14106294157438612
Median	102	smoker	0.14106294157438612
Mean	101.566666666667	smoker	0.14106294157438612
3rd Qu.	123.75	smoker	0.14106294157438612
Max.	193	smoker	0.14106294157438612
Min.	53	non-smoker	0.14106294157438612
1st Qu.	91	non-smoker	0.14106294157438612
Median	114	non-smoker	0.14106294157438612
Mean	136.695652173913	non-smoker	0.14106294157438612
3rd Qu.	180	non-smoker	0.14106294157438612
Max.	360	non-smoker	0.14106294157438612
