Values	total	status	pValue
Min.	9	smoker	0.2984969048976211
1st Qu.	82	smoker	0.2984969048976211
Median	158	smoker	0.2984969048976211
Mean	210.426666666667	smoker	0.2984969048976211
3rd Qu.	301	smoker	0.2984969048976211
Max.	927	smoker	0.2984969048976211
Min.	40	non-smoker	0.2984969048976211
1st Qu.	80.5	non-smoker	0.2984969048976211
Median	115	non-smoker	0.2984969048976211
Mean	181.914285714286	non-smoker	0.2984969048976211
3rd Qu.	229	non-smoker	0.2984969048976211
Max.	801	non-smoker	0.2984969048976211
