Values	total	status	pValue
Min.	4	smoker	2.142899971956282e-4
1st Qu.	56	smoker	2.142899971956282e-4
Median	77	smoker	2.142899971956282e-4
Mean	91.955223880597	smoker	2.142899971956282e-4
3rd Qu.	113	smoker	2.142899971956282e-4
Max.	509	smoker	2.142899971956282e-4
Min.	2	non-smoker	2.142899971956282e-4
1st Qu.	27.5	non-smoker	2.142899971956282e-4
Median	49	non-smoker	2.142899971956282e-4
Mean	57.135593220339	non-smoker	2.142899971956282e-4
3rd Qu.	83	non-smoker	2.142899971956282e-4
Max.	202	non-smoker	2.142899971956282e-4
